map_no,template_no,question,ground_truth,c_or_d,relative_region (y/n),comments,type (Single/list/Binary/Count/Range etc),type,
1_3C,6,Yes or no: the map depicts absolute values.,Yes,c,N,,,Binary,
1_3C,19,Yes or no: the value of the state Jiangsu is similar to state Zhejiang.,Yes,,N,,,Binary,
1_3C,15,List the states bordering North Korea with the highest value.,Liaoning,,Y,,,List,
1_3C,3,What is the overall range of the legend?,5k-40k,,N,,,Range,
1_3C,18,Yes or no: the value of Shanghai is higher than its neighbouring state Zhejiang.,Yes,,Y,,,Binary,Done by Prerana
1_3C,5,Yes or no: the legend has multiple distinct colours.,No,,N,,,Binary,
1_3C,28,Which state bordering Mongolia has the closest value to state Fujian?,Inner Mongolia,,Y,Inner Mongolia??,,List,
1_3C,20,Name the East most state that has a higher value compared to all its neighbours.,Shanghai,,Y,,,Single,
1_3C,21,Yes or no: state Qinghai has the highest value among the states bordering Tibet .,No,,Y,,,Binary,
1_3C,39,Yes or no: all states bordering Russia have values in range 35000 - 40000.,No,,N,,,Binary,
2_3C,22,Yes or no: States bordering Mongolia have lower values on average than states bordering India.,No,c,N,,,Binary,
2_3C,32,Yes or no: Hunan is an outlier compared to other states along the Indian border.,No,,N,,,Binary,
2_3C,6,Yes or no: the map depicts absolute values.,Yes,,N,this is duplicate (this is not an issue),,Binary,
2_3C,36,Name the west most state with values in range < -30.,Tibet,,N,"not sure, is tibet considered south most or western??",,Single,
2_3C,30,Does Jilin have the same value as Beijing amongst the states in the north east region?,No,,N,,,Binary,
2_3C,5,Yes or no: the legend has different shades of the same colour.,Yes,,N,,,Binary,
2_3C,28,Which state bordering South China Sea has the closest value to Xinjiang?,Guangdong,,Y,,,List,
2_3C,34,Yes or no: Heilongjiang is the North most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
2_3C,33,Yes or no: Tibet and Qinghai are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
2_3C,27,Which states bordering South China Sea have a similar value as Tibet?,None,,Y,"question seems fine, so not replacing anything here",,List,
3_6C,36,Name the North most state with values in the highest range.,Heilongjiang,c,N,,,Single,
3_6C,16,Between which two legend markings does Hunan fall in?,4 - 4.5,,N,,,Range,
3_6C,39,Yes or no: all coastal states have values below 2.0.,No,,N,,,Binary,
3_6C,27,Which states with coasts have a value similar to Tibet?,"Guangdong, Hainan",,N,,,List,
3_6C,30,Does Qinghai have the same value as Jilin?,No,,N,,,Binary,
3_6C,3,What is the overall range of the legend?,<1.5 - 4.5,,N,,,Range,
3_6C,17,Count the states with the values in range 2.5 - 3.0 in the region bordering Pakistan.,1,,Y,,,Count,
3_6C,22,Yes or no: States bordering Myanmar have similar values on average than states bordering Russia.,No,,N,,,Binary,
3_6C,35,How many states bordering Russia have a value higher than Shandong?,2,,Y,,,Count,
3_6C,42,"Yes/No: Sichuan has a similar value as Hunan, and also a higher value than Zhejiang.",Yes,,N,,,Binary,
4_1C,7,Is the legend continuous or discrete?,Continuous,c,N,,,Single,
4_1C,5,Yes or no: the legend has different shades of the same colour?,Yes,,N,,,Binary,
4_1C,20,Name the West most state that has a higher compared to all its neighbours.,Xinjiang,,Y,,,Single,
4_1C,35,How many states bordering Russia have a value similar to Hainan?,0,,Y,,,Count,
4_1C,10,Is the value of Beijing closer to Hainan or Yunnan?,Hainan,,N,,,Single,
4_1C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
4_1C,15,List the states bordering Pakistan with the highest values.,Xinjiang,,Y,,,List,
4_1C,3,What is the overall range of the legend?,< -20 - >80,,N,,,Range,
4_1C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
4_1C,32,Yes or no: Beijing is an outlier compared to its neighbours.,Yes,,Y,,,Binary,
5_5C,23,How many states bordering Russia have a value higher than 6?,1,c,Y,,,Count,
5_5C,11,Which state bordering Russia belong to range 6.5 - 7?,Heilongjiang,,N,,,List,
5_5C,19,Yes or no: the value of Guangdong is higher than Jilin.,Yes,,N,,,Binary,
5_5C,3,What is the overall range of the legend?,<4.5 - >7,,N,,,Range,
5_5C,35,How many states bordering India have a value lower than Fujian?,1,,Y,this is 1?,,Count,
5_5C,20,Name the South most state that has a lower value compared to all its neighbours.,Guangdong,,Y,,,Single,
5_5C,33,Yes or no: Hunan and Guangdong are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
5_5C,17,Count the states with the values in the range <4.5.,1,,N,this is 1?,,Count,
5_5C,22,Yes or no: States bordering Tajikistan have lower values on average than states bordering Russia.,Yes,,N,,,Binary,
5_5C,10,Is the value of Henan closer to Shandong or Shanxi?,Shandong,,N,,,Single,
6_3C,35,How many states bordering Russia have a value similar to Guangdong?,1,c,Y,,,Count,
6_3C,9,Does the value of Tibet fall in range -10 - -15?,Yes,,N,,,Binary,
6_3C,34,Yes or no: Heilongjiang is the North most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
6_3C,22,Yes or no: States bordering Beijing have higher values on average than states bordering Guizhou.,Yes,,Y,,,Binary,
6_3C,32,Yes or no: Hainan is an outlier compared to other states bordering South China Sea.,Yes,,Y,,,Binary,
6_3C,10,Is the value of Sichuan closer to Yunnan or Tibet?,Yunnan,,N,,,Single,
6_3C,33,Yes or no: Hebei and Beijing are a pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
6_3C,18,Yes or no: the value of Tibet is similar to its neighbouring state Qinghai.,Yes,,Y,,,Binary,
6_3C,42,"Yes/No: Fujian has a lower value than Hebei, and also have a higher value than Sichuan",No,,N,,,Binary,
6_3C,43,"Rank the states Hainan, Guangdong and Guangxi in terms of the legend value along the South China Sea border.",Guangdong > Guangxi > Hainan,,N,,,Rank,
7_6C,11,Which states bordering Afghanistan belong to range <10?,Xinjiang,c,Y,,,List,
7_6C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,,N,,,Binary,
7_6C,26,Which states bordering India have a value lower than 20?,"Tibet, Xinjiang",,Y,,,List,
7_6C,20,Name the South most state that has a higher value compared to all its neighbours.,Sichuan,,Y,,,Single,
7_6C,36,Name the East most state with values in range 30-40.,Heilongjiang,,N,,,Single,
7_6C,3,What is the overall range of the legend?,0-50,,N,,,Range,
7_6C,31,Yes or no: a majority of coastal states have values less greater than 50.,No,,N,,,Binary,
7_6C,13,Which state has the least value along the international land border?,Tibet,,N,,,Single,
7_6C,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
7_6C,21,Yes or no: Neimongol has the least value along Mongolia's border.,Yes,,N,"not sure, NM is the only state",,Binary,
8_5C,19,Yes or no: the value of Tibet is higher than Jilin.,Yes,c,N,,,Binary,
8_5C,22,Yes or no: Provinces bordering South China Sea have similar values on average than states bordering Kazakhstan.,No,,Y,,,Binary,
8_5C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
8_5C,27,Which states bordering Qinghai have a value similar to Shandong?,"Xinjiang, Tibet",,Y,,,List,
8_5C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
8_5C,43,"Rank the states Inner Mongolia, Liaoning and Shandong in terms of the legend value in region R.",Liaoning < Inner Mongolia < Shandong,,N,,,Rank,
8_5C,33,Yes or no: Yunnan and Guizhou are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
8_5C,32,Yes or no: Guangdong is an outlier compared to other states bordering South China Sea.,No,,Y,,,Binary,
8_5C,3,What is the overall range of the legend?,<0 - >10,,N,,,Range,
8_5C,31,Yes or no: a majority of states bordering North Korea have values less than 2.,Yes,,N,,,Binary,
9_2C,23,How many states bordering Guangdong have a value higher than 12?,3,c,Y,,,Count,
9_2C,27,Which states bordering India have a value higher than state Shanghai?,Xinjiang,,Y,,,List,
9_2C,19,Yes or no: the value of Beijing is lower than Tibet.,Yes,,N,,,Binary,
9_2C,9,Does the value of Tibet fall in range >14?,Yes,,N,,,Binary,
9_2C,3,What is the overall range of the legend?,<6 - >14,,N,,,Range,
9_2C,10,Is the value of Shanghai closer to 6 or 10?,6,,N,,,Single,
9_2C,13,Which state has the highest value in the region bordering Vietnam?,Guangxi,,Y,,,Single,
9_2C,42,Yes/No: Gansu has a similar value as Sichuan and also have a lower value than Ningxia.,Yes,,N,,,Binary,
9_2C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
9_2C,16,Between which two legend markings does Hainan fall in?,12-13,,N,,,Range,
10_5C,19,Yes or no: the value of Hubei is similar to Guangdong.,Yes,c,N,,,Binary,
10_5C,31,Yes or no: a majority of states bordering Russia have values less than 60.,Yes,,N,,,Binary,
10_5C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
10_5C,5,Yes or no: the legend has different shades of the same colour?,Yes,,N,,,Binary,
10_5C,3,What is the overall range of the legend?,<0 - >140,,N,this is 0-140 or if this is the way to report it in such way then thats probably fine,,Range,
10_5C,39,Yes or no: all states bordering India have values below 40.,Yes,,N,,,Binary,
10_5C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,,N,,,Binary,
10_5C,35,How many states bordering Tibet have a value higher than Ningxia?,2,,Y,,,Count,
10_5C,11,Which states bordering Shanghai belong to range 120-140?,None,,Y,,,List,
10_5C,28,Which state has the farthest value to state bordering Nepal?,"Guangdong, Hubei",,Y,,,List,
11_5C,7,Is the legend continuous or discrete?,Continuous,c,N,,,Single,
11_5C,23,How many states bordering Guangdong have a value lower than 500?,1,,Y,,,Count,
11_5C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
11_5C,42,Yes/No: Tibet has a higher value than state Hunan and also Jilin.,No,,N,,,Binary,
11_5C,21,Yes or no: Hubei has the least value in region surrounding Shanghai.,No,,N,,,Binary,
11_5C,20,Name the East most state that has a higher value compared to all its neighbours.,Jiangsu,,Y,,,Single,
11_5C,32,Yes or no: Guangdong is an outlier compared to states bordering it.,Yes,,Y,,,Binary,
11_5C,17,Yes or no: the map depicts absolute values.,Yes,,N,,,Count,
11_5C,36,Name the West most state with values in range 0-500.,Tibet,,N,same for this too,,Single,
11_5C,34,Yes or no: Tibet is the South most state that has a higher value compared to all its neighbours.,No,,Y,,,Binary,
12_4C,6,Yes or no: the map depicts absolute values.,Yes,c,N,,,Binary,
12_4C,21,Yes or no: state Guangdong has the highest value in the South China sea region.,Yes,,N,,,Binary,
12_4C,39,Yes or no: all states bordering Mongolia have values below 600.,Yes,,N,,,Binary,
12_4C,11,Which states bordering Beijing belong to the range 1200-1400?,None,,Y,,,List,
12_4C,34,Yes or no:Tianjin is the North most state that has a higher value compared to all its neighbours.,No,,Y,,,Binary,
12_4C,3,What is the overall range of the legend?,<0 - 1400,,N,0-1400??,,Range,
12_4C,19,Yes or no: the value of Shanxi is similar to state Yunnan.,Yes,,N,,,Binary,
12_4C,16,Between which two legend markings does state Shandong fall in?,1000 - 1200,,N,,,Range,
12_4C,23,How many states bordering Vietnam have a value higher than 1000?,0,,Y,,,Count,
12_4C,20,Name the East most state that has a lower value compared to all its neighbours.,Heilongjiang,,Y,,,Single,
13_1C,31,Yes or no: a majority of states bordering Hubei have values less than 10.,Yes,c,Y,,,Binary,
13_1C,39,Yes or no: all states bordering India have values below 0.,No,,N,,,Binary,
13_1C,26,Which states bordering Tibet have a value higher than 15?,Xinjiang,,Y,,,List,
13_1C,13,Which state has the highest value along the Russian border?,Inner Mongolia and Jilin,,N,,,Single,
13_1C,3,What is the overall range of the legend?,-15 - 25,,N,-15 to 25??,,Range,
13_1C,33,Yes or no: Xinjiang and Tibet are the pair of bordering states with the highest difference.,Yes,,Y,XJ and XZ,,Binary,
13_1C,42,Yes/No: Sichuan has a similar value as Qinghai and also a lower value than Hubei.,Yes,,N,,,Binary,
13_1C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,,N,,,Binary,
13_1C,21,Yes or no: Tibet has the highest value in region bordering Myanmar.,No,,Y,,,Binary,
13_1C,11,Which states bordering Laos belong to range 20-25?,None,,Y,,,List,
14_3C,33,Yes or no: Hunan and Hubei are the pair of bordering states with the highest difference.,No,c,Y,,,Binary,
14_3C,5,Yes or no: the legend has different shades of the same colour?,Yes,,N,,,Binary,
14_3C,26,Which states bordering Fujian have a value higher than 10?,Zhegiang,,Y,,,List,
14_3C,11,Which states in the region bordering Jiangsu belong to lowest range?,None,,Y,,,List,
14_3C,30,Does state Qinghai have the same different value to state Tibet.,Yes,,N,,,Binary,
14_3C,28,Which state bordering Kazakhstan has the closest value to state Jilin?,None,,Y,,,List,
14_3C,19,Yes or no: the value of Beijing is similar to Hebei.,Yes,,N,,,Binary,
14_3C,43,Yes or no: the map depicts absolute values.,Yes,,N,,,Rank,
14_3C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
14_3C,17,Count the states with the values in the highest range,1,,N,,,Count,
16_1C,43,"Rank the states Guangdong, Shandong and Hainan in terms of the legend value.",Guangdong > Shandong > Hainan,c,N,,,Rank,
16_1C,20,Name the South most state that has a higher value compared to all its neighbours.,Guangdong,,Y,,,Single,
16_1C,13,Which state has the highest value along the South China Sea?,Guangdong,,N,,,Single,
16_1C,34,Yes or no: Xinjiang is the West most state that has a similar value compared to all its neighbours.,Yes,,Y,,,Binary,
16_1C,30,Yes or no: the map depicts percentages.,No,,N,,,Binary,
16_1C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,,N,,,Binary,
16_1C,33,Yes or no: Tibet and Xinjiang are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
16_1C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
16_1C,16,Are the legends evenly spaced?,Yes,,N,,,Range,
16_1C,3,What is the overall range of the legend?,<0 - 4500,,N,0-4500?,,Range,
17_4C,32,Yes or no: state Guangdong is an outlier compared to other states in the South China sea region.,Yes,c,N,,,Binary,
17_4C,19,Yes or no: the value of Shanghai is lower than Jiangsu.,Yes,,N,this should be no???,,Binary,
17_4C,30,Does Hainan have the same value as Yunnan amongst the states in the South China Sea region.,No,,N,no??,,Binary,
17_4C,36,Name the South most state with values in range <200.,Hainan,,N,,,Single,
17_4C,27,Which states in the East China Sea region have a value higher than state Guangdong?,"Jiangsu, Zhejiang",,N,this is wrong because GD has the highest values,,List,
17_4C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
17_4C,16,Between which two legend markings does Shandong fall in?,400 - 600,,N,400-600?,,Range,
17_4C,3,What is the overall range of the legend?,<0 - >800,,N,0-800??,,Range,
17_4C,39,Yes or no: all states bordering Russia have values in range <200.,Yes,,N,,,Binary,
17_4C,26,Which states bordering India have a value higher than 800?,None,,Y,,,List,
18_2C,30,Between which two legend markings does Jilin fall in?,0-50,c,N,,,Binary,
18_2C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
18_2C,10,Is the value of Tibet closer to <50 or 150-200?,<50,,N,,,Single,
18_2C,31,Yes or no: a majority of states in the East China Sea region have values greater than 350.,No,,N,,,Binary,
18_2C,33,Yes or no: Inner Mongolia and Shandong are the pair of bordering states with the highest difference.,No,,N,,,Binary,
18_2C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
18_2C,5,Yes or no: the legend has different shades of the same colour?,No,,N,,,Binary,
18_2C,16,Between which two legend markings does Guangdong fall in?,>350,,N,,,Range,
18_2C,3,What is the overall range of the legend?,<0 - >350,,N,0-350?,,Range,
18_2C,22,Yes or no: States bordering India have higher values on average than states bordering Russia.,No,,N,,,Binary,
19_5C,18,Yes or no: the value of Hubei is higher than its neighbouring state Hunan.,Yes,c,Y,,,Binary,
19_5C,21,Yes or no: state Guangdong has the highest value in the South China Sea region.,Yes,,N,,,Binary,
19_5C,16,Between which two legend markings does state Hubei fall in?,>120,,N,,,Range,
19_5C,19,Yes or no: the value of the state Xinjiang is higher than Tibet.,Yes,,N,,,Binary,
19_5C,30,Does Jilin have the same value as Heibei amongst the states in the East China Sea region.,Yes,,N,no?,,Binary,
19_5C,42,"Yes/No: Guangdong has a higher value than Tibet, and also have a similar value as Hubei.",Yes,,N,,,Binary,
19_5C,3,What is the overall range of the legend?,<0 - >120,,N,0-120?,,Range,
19_5C,17,Count the states with the values in range >120 in the South China Sea region.,1,,N,,,Count,
19_5C,20,Name the West most state that has a lower value compared to all its neighbours.,Tibet,,Y,,,Single,
19_5C,27,Which states in South China region have a value higher than Hubei?,Guangdong,,N,GD?,,List,
20_6C,13,Which state has the highest value in the South China Sea region?,Guangdong,c,N,,,Single,
20_6C,3,What is the overall range of the legend?,<0 - >40000,,N,0 to 40K?,,Range,
20_6C,42,"Yes/No: Guangdong has a higher value than Tibet, and also a similar value as Zhejiang.",Yes,,N,"how similar, it is way higher?",,Binary,
20_6C,22,Yes or no: States bordering South China Sea have higher values on average than states bordering Russia.,Yes,,N,,,Binary,
20_6C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
20_6C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
20_6C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
20_6C,28,Which state in the East China Sea region has the closest value to Sichuan?,Fujian,,N,,,List,
20_6C,11,Which states bordering India belong to the highest range?,None,,Y,,,List,
20_6C,27,Which states in the South China region have a value similar to Tibet?,Hainan,,N,YN?,,List,
21_3C,35,How many states bordering Russia have a value similar to Tianjin?,0,c,Y,,,Count,
21_3C,19,Yes or no: the value of Beijing is similar to Tibet.,No,,N,,,Binary,
21_3C,33,Yes or no: Shanxi and Henan are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
21_3C,32,Yes or no: state Zhejiang and Tianjin are outliers compared to other states in the East China Sea region.,Yes,,N,,,Binary,
21_3C,34,Yes or no: Zhejiang is the East most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
21_3C,13,Which state has the least value in the South China Sea region?,Hainan,,N,incorrect?,,Single,
21_3C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
21_3C,16,Between which two legend markings does Jilin fall in?,< -15,,N,out of range,,Range,
21_3C,43,"Rank the states Qinghai, Zhejiang and Ningxia in terms of the legend value.",Zhejiang > Qinghai > Ningxia,,N,this is highest to lowest,,Rank,
21_3C,27,Which states bordering India have a value similar to Shaanxi?,Tibet,,Y,,,List,
22_2C,17,Count the states with the values in range >2500.,3,c,N,,,Count,
22_2C,15,List the 3 states in the East China Sea region with the highest values.,"Shandong, Jiangsu, Zhejiang",,N,,,List,
22_2C,32,Yes or no: Tibet is an outlier compared to other states in the South China Sea region.,No,,N,,,Binary,
22_2C,39,Yes or no: all states bordering North Korea have values in range 2000-2500.,No,,N,,,Binary,
22_2C,21,Yes or no: Guangxi has the highest value among the neighbours of Guizhou.,Yes,,Y,,,Binary,
22_2C,31,Yes or no: a majority of states bordering Russia have values less than 1000.,Yes,,N,,,Binary,
22_2C,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
22_2C,9,Does the value of Hainan fall in range 2000 - 2500?,No,,N,,,Binary,
22_2C,23,How many states in the East China Sea region have a value higher than 2000?,3,,N,,,Count,
22_2C,19,Yes or no: the value of Guangdong is lower than Shandong.,Yes,,N,,,Binary,
23_5C,2,Yes or no: in the legend the colour darkness/intensity is directly proportional to the value.,Yes,c,N,Yes?,,Binary,
23_5C,26,Are the legends evenly spaced?,Yes,,N,I think this is only one i.e GD,,List,
23_5C,35,How many states bordering India have a value similar to Inner Mongolia?,1,,Y,,,Count,
23_5C,9,Is the legend continuous or discrete?,Continuous,,N,No,,Binary,
23_5C,3,What is the overall range of the legend?,<0 - >1500,,N,0-1500,,Range,
23_5C,33,Yes or no: Guangdong and Guangxi are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
23_5C,27,Which states with coasts have a value higher than state Guangdong?,None,,N,,,List,
23_5C,22,Yes or no: States bordering India have similar values on average than states bordering North Korea.,Yes,,N,,,Binary,
23_5C,42,"Yes/No: Guangdong has a higher value than Qinghai, and also have a similar value as Liaoning.",No,,N,,,Binary,
23_5C,20,Name the South most state that has a higher value compared to all its neighbours.,Guangdong,,Y,,,Single,
5_1C,17,Count the states with the values in >8.5 along the North Korea border.,2,c,N,2?,,Count,
5_1C,13,Which state has the least value in the South China Sea region?,Guangdong,,N,,,Single,
5_1C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
5_1C,16,Between which two legend markings does Tibet fall in?,5 - 5.5,,N,,,Range,
5_1C,23,How many states bordering Guangdong have a value lower than 7?,3,,Y,,,Count,
5_1C,18,Yes or no: the value of Shaanxi is similar to its neighbouring state Shanxi.,Yes,,Y,,,Binary,
5_1C,20,Name the East most state that has a higher value compared to all its neighbours.,Heilongjiang,,Y,,,Single,
5_1C,15,List the states bordering Russia with the highest value.,Heilongjiang,,Y,,,List,
5_1C,28,Which state bordering Qinghai has the closest value to Hunan?,Gansu,,Y,,,List,
5_1C,3,What is the overall range of the legend?,<5 - >8.5,,N,,,Range,
3_1C,30,Does Fujian have the same value as Guizhou amongst the states in the south east region.,Yes,c,N,,,Binary,
3_1C,32,Yes or no: Liaoning is an outlier compared to other states with coasts.,Yes,,N,,,Binary,
3_1C,3,What is the overall range of the legend?,<2.5 - >4.5,,N,,,Range,
3_1C,22,Yes or no: States bordering Bhutan have lower values on average than states bordering North Korea.,Yes,,N,,,Binary,
3_1C,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
3_1C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
3_1C,35,How many states bordering Sichuan have a value similar to Jilin?,1,,Y,,,Count,
3_1C,43,"Rank the states Qinghai, Tibet and Gansu in terms of the legend value.",Gansu > Tibet > Qinghai,,N,,,Rank,
3_1C,15,List the states bordering Vietnam with the lowest values.,Guangxi,,Y,only GX?,,List,
3_1C,31,Yes or no: a majority of states bordering Russia have values greater than 3.5.,Yes,,N,,,Binary,
14_8C,6,Yes or no: the map depicts percentages.,No,c,N,,,Binary,
14_8C,26,Which states bordering Myanmar have a value lower than 20000?,"Tibet, Yunnan",,Y,,,List,
14_8C,41,Are the legends evenly spaced?,Yes,,N,,,Single,
14_8C,20,Name the South most state that has a higher value compared to all its neighbours.,Guangdong,,Y,,,Single,
14_8C,36,Name the South most state with values in range <10000.,Hainan,,N,,,Single,
14_8C,11,Which states bordering South China Sea belong to the range 50000 - 60000?,None,,Y,,,List,
14_8C,33,Yes or no: Tibet and Qinghai are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
14_8C,17,Count the states with the values in range 20000 - 30000.,5,,N,,,Count,
14_8C,43,"Rank the states Hunan, Jiangxi and Zhejiang in terms of the legend value.",Zhejiang > Hunan > Jiangxi,,N,,,Rank,
14_8C,10,Is the value of state Ningxia closer to Qinghai or Hebei?,Qinghai,,N,,,Single,
1_1D,22,Yes or no: States bordering Bhutan have higher values on average than states bordering Russia.,No,d,N,,,Binary,
1_1D,42,"Yes/No: Beijing has a higher value than Yunnan, and also have a similar value to Liaoning.",Yes,,N,,,Binary,
1_1D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
1_1D,43,"Rank the states Sichuan, Chongqing and Guizhou in terms of the legend value.",Guizhou < Sichuan < Chongqing,,N,,,Rank,
