map_no,template_no,question,ground_truth,c_or_d,relative_region (y/n),comments,type (Single/list/Binary/Count/Range etc),type,
1_1D,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,,N,,,Binary,
1_1D,34,Yes or no: Jilin is the North most state that has a lower value compared to all its neighbours.,Yes,,Y,,,Binary,
1_1D,9,Does the value of Guangdong fall in the highest range?,Yes,,N,,,Binary,
1_1D,7,Is the legend continuous or discrete?,Discrete,,N,,,Single,
1_1D,36,Name the West most state with values in the lowest range.,Tibet,,N,,,Single,
1_1D,15,List the states bordering East China Sea with the lowest range values.,None,,Y,not correct,,List,
2_3D,11,Which states in the South China Sea belong to the second highest range?,Guangdong,d,N,this is the highest??,,List,
2_3D,1,How many distinct categories does the legend contain?,6,,N,,,Count,
2_3D,23,How many states in the South China Sea region have a value higher than 5?,3,,N,,,Count,
2_3D,8,Which class has the largest range of values?,-34.10 - -10.60,,N,,,Range,
2_3D,18,Yes or no: the value of Heilongjiang is similar to its neighbouring state Jilin.,Yes,,Y,,,Binary,
2_3D,12,What is the lowest value range in the South China Sea region?,-10.60 - -6.90,,N,,,Range,
2_3D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
2_3D,31,Yes or no: a majority of states bordering North Korea belong to range greater than -6.90.,Yes,,N,,,Binary,
2_3D,34,Yes or no: Guangdong is the South most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
3_6D,32,Yes or no: Shaanxi is an outlier compared to other states bordering Sichuan.,No,d,Y,,,Binary,
3_6D,37,Which state in range 1.40 - 2.90 borders at least 2 states from the highest range?,Gansu,,N,,,Single,
3_6D,19,Yes or no: the value of Sichuan is higher than Beijing.,Yes,,N,,,Binary,
3_6D,3,What is the overall range of the legend?,1.40 - 4.50,,N,,,Range,
3_6D,13,Which state has the least value in the South China region?,"Hainan, Guangdong, Guangxi",,N,,,Single,
3_6D,34,Yes or no: Heilongjiang is the North most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
3_6D,27,Which states bordering India have a value higher than Hainan?,None,,Y,,,List,
3_6D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
3_6D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
3_6D,42,"Yes/No: Jilin has a higher value than Hainan, and also have a similar value than Shaanxi",Yes,,N,,,Binary,
4_4D,33,Yes or no: Inner Mongolia and Liaoning are a pair of bordering states with the highest difference.,Yes,d,N,,,Binary,
4_4D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
4_4D,41,Are the legends evenly spaced?,No,,N,,,Single,
4_4D,5,Yes or no: the legend has different shades of the same colour?,Yes,,N,,,Binary,
4_4D,9,Does Tibet fall in the lowest range?,No,,N,,,Binary,
4_4D,3,What is the overall range of the legend?,-41.70 - 50.60,,N,,,Range,
4_4D,30,Does Jiangsu have the same value as Zhejiang amongst the states bordering East China Sea.,Yes,,Y,,,Binary,
4_4D,23,How many states bordering India have a value higher than 2.40?,1,,Y,,,Count,
4_4D,1,How many distinct categories does the legend contain?,3,,N,,,Count,
4_4D,37,Which state in the least range borders at least 2 states from the highest range?,Inner Mongolia,,N,,,Single,
5_7D,21,Yes or no: Shanghai has the lowest value in the East China Sea region.,Yes,d,N,is it TJ?,,Binary,
5_7D,13,Which state has the higest value in the East China Sea region?,"Shandong, Jiangsu",,N,,,Single,
5_7D,38,Yes or no: the value of Guangdong is below the median value amongst states in the South China region.,Yes,,N,,,Binary,
5_7D,36,Name the West most state in the highest range.,Sichuan,,N,,,Single,
5_7D,43,"Rank the states Gansu, Inner Mongolia and Heilongjiang in terms of the legend value in the Russia border region.",Heilongjiang > Gansu > Inner Mongolia,,N,,,Rank,
5_7D,19,Yes or no: the value of Henan is similar to Sichuan.,Yes,,N,,,Binary,
5_7D,15,List the 2 states in the Indian border region with the same values.,"Tibet, Xinjiang",,Y,,,List,
5_7D,30,Does Zhejiang have the same value as Guangdong mongst the states in the south east coastal region.,Yes,,N,,,Binary,
5_7D,37,Which state in the north east region borders at least 3 from range 6.21 - 6.65?,Inner Mongolia,,N,,,Single,
6_3D,5,Yes or no: the legend has different shades of the same colour?,Yes,d,N,,,Binary,
6_3D,37,Which state in the lowest range borders at least 5 states from range -1.80 - 7.90?,Guizhou,,N,,,Single,
6_3D,43,"Rank the states Tibet, Xinjiang and Guangdong in terms of the legend value.",Guangdong > Xinjiang > Tibet,,N,,,Rank,
6_3D,30,Does Hunan have the same value as Guangxi amongst the states in northeast region.,Yes,,N,,,Binary,
6_3D,41,Are the legends evenly spaced?,No,,N,,,Single,
6_3D,12,What is the highest value range in the north-east region?,7.90 - 22.60,,N,,,Range,
6_3D,22,Yes or no: Coastal states have higher values on average than inland states.,Yes,,N,,,Binary,
6_3D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
6_3D,32,Yes or no: Heilongjiang is an outlier compared to other states in the northeast region.,Yes,,N,,,Binary,
6_3D,4,What value range does the darkest shade represent?,7.90 - 22.60,,N,,,Range,
7_0D,1,How many distinct categories does the legend contain?,5,d,N,,,Count,
7_0D,17,Count the coastal states with the values in range 28.3 - 37.20 in the southeast region.,1,,N,,,Count,
7_0D,34,Yes or no: Guangdong is the South most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
7_0D,36,Name the South most state in the highest range.,Guangdong,,N,,,Single,
7_0D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
7_0D,27,Which states in the northeast region have a value lower than Shaanxi?,"Heilongjiang, Jilin",,N,,,List,
7_0D,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,,N,,,Binary,
7_0D,19,Yes or no: the value of the state Liaoning is higher than state Tibet.,Yes,,N,,,Binary,
7_0D,8,Which class has the largest range of values?,37.20 - 62.90,,N,dont think so,,Range,
7_0D,5,Yes or no: the legend has different shades of the same colour?,Yes,,N,,,Binary,
7_8D,26,Which states in the northeast region have a value higher than 38.30?,"Heilongjiang, Liaoning",d,N,,,List,
7_8D,43,"Rank the states Qinghai, Sichuan and Hebei in terms of the legend value.",Sichuan > Hebei > Qinghai,,N,,,Rank,
7_8D,27,Which states bordering India have a value similar to Tianjin?,None,,Y,,,List,
7_8D,42,Yes/No: Henan has a similar value to Sichuan and also Shandong.,Yes,,N,,,Binary,
7_8D,23,How many coastal states have a value lower than 22.30?,2,,N,,,Count,
7_8D,15,List the 2 states bordering India with the lowest values.,Tibet and Xinjiang,,N,,,List,
7_8D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
7_8D,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,yes?,,Binary,
7_8D,39,Yes or no: all states in the South China region have values above 29.40.,No,,N,,,Binary,
7_8D,3,What is the overall range of the legend?,1.70 - 54.40,,N,,,Range,
8_3D,5,Yes or no: the legend has multiple distinct colours?,Yes,d,N,,,Binary,
8_3D,36,Name the South most state in the lowest range.,Shanghai,,N,not correct?,,Single,
8_3D,12,What is the least value range in the north-east region?,-1.00 - 3.07,,N,,,Range,
8_3D,34,Yes or no: Ningxia is the North most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
8_3D,16,What value range does Yunnan fall in?,4.92 - 7.02,,N,,,Range,
8_3D,39,Yes or no: all states in the south east region have values above 4.92.,Yes,,N,,,Binary,
8_3D,19,Yes or no: the value of Ningxia is similar to Hainan.,Yes,,N,,,Binary,
8_3D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
8_3D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
8_3D,40,Which pair of states belonging to the highest range are the closest to each other?,Tibet and Qinghai,,Y,,,List,
9_0D,5,Yes or no: the legend has multiple distinct colours?,Yes,d,N,,,Binary,
9_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
9_0D,28,Which state bordering South China Sea has the same value as Inner Mongolia?,None,,Y,,,List,
9_0D,19,Yes or no: the value of Shanghai is higher than Hainan.,No,,N,,,Binary,
9_0D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
9_0D,8,Which class has the largest range of values?,7.36 - 14.24,,N,white,,Range,
9_0D,42,Yes/No: Guangdong has a higher value than Jilin and also Beijing.,Yes,,N,,,Binary,
9_0D,41,Are the legends evenly spaced?,No,,N,,,Single,
9_0D,9,Does Qinghai fall in the highest range?,Yes,,N,,,Binary,
9_0D,34,Yes or no: Xinjiang is the West most state that has a lower value compared to all its neighbours.,Yes,,Y,,,Binary,
10_3D,6,Yes or no: the map depicts absolute values.,Yes,d,N,,,Binary,
10_3D,18,Yes or no: the value of Hunan is higher than its neighbouring state Chingqing.,No,,Y,,,Binary,
10_3D,13,Which state has the least value in the South China Sea region?,Hainan,,N,,,Single,
10_3D,35,How many states bordering South China Sea have a value similar to Tibet?,1,,Y,,,Count,
10_3D,12,What is the higest value range along Russia's border?,54.20 - 75.00,,N,,,Range,
10_3D,11,Which states in region bordering Bhutan belong to the highest range?,None,,Y,,,List,
10_3D,26,Which states bordering India have a value lower than 54.20?,"Tibet, Xinjiang",,Y,,,List,
10_3D,28,Which state in the East China region has the same value as Ningxia?,Tianjin,,N,,,List,
10_3D,1,How many distinct categories does the legend contain?,3,,N,,,Count,
10_3D,27,Which states bordering North Korea have a value lower than Guangdong?,"Jilin, Liaoning, Heilongjiang",,Y,,,List,
11_1D,43,"Rank the states Hainan, Guangdong and Fujian in terms of the legend value in the South China Sea region.",Guangdong > Fujian > Hainan,d,N,highest to lowest,,Rank,
11_1D,36,Name the West most state in the lowest range.,Tibet,,N,,,Single,
11_1D,27,Which states in the north east region have a value similar to Fujian?,Jilin,,N,,,List,
11_1D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
11_1D,35,How many states in the East China Sea region have a value similar to Shanxi?,2,,N,,,Count,
11_1D,37,Which state in the highest range borders at least 2 states from the same range?,Shandong,,N,,,Single,
11_1D,42,"Yes/No: Hunan has a higher value than Qinghai, and also a similar value as Shandong",Yes,,N,,,Binary,
11_1D,16,What value range does Jilin fall in?,398.14 - 745.49,,N,,,Range,
11_1D,41,Are the legends evenly spaced?,No,,N,,,Single,
11_1D,1,How many distinct categories does the legend contain?,7,,N,,,Count,
12_2D,43,"Rank the states Jilin, Beijing and Hebei in terms of the legend value.",Hebei > Jilin > Beijing,d,N,,,Rank,
12_2D,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,,N,,,Binary,
12_2D,17,Count the states with the values in the highest range in the East China Sea region.,5,,N,,,Count,
12_2D,40,Which pair of north east states belonging to the second highest range are the closest to each other?,Liaoning and Jilin,,N,,,List,
12_2D,35,How many states bordering India have a value similar to Beijing?,1,,N,,,Count,
12_2D,27,Which states bordering Vietnam have a value similar to Shanghai?,None,,Y,,,List,
12_2D,16,What value range does Ningxia fall in?,31.30 - 259.20,,N,,,Range,
12_2D,12,What is the least value range in the South east region?,31.29 - 259.20,,N,,,Range,
12_2D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
12_2D,23,How many states bordering Myanmar have a value higher than 259.20?,1,,Y,2?,,Count,
13_4D,36,Name the North most state in the range 15.5 - 129.4.,Heilongjiang,d,N,,,Single,
13_4D,31,Yes or no: a majority of states bordering Beijing belong to range less than 8.60.,Yes,,Y,,,Binary,
13_4D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
13_4D,21,Yes or no: Xinjiang has the least value in region bordering India.,Yes,,N,,,Binary,
13_4D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
13_4D,12,What is the least value range in the south-east region?,-31.10 - 2.80,,N,,,Range,
13_4D,16,What value range does Yunnan fall in?,15.50 - 129.40,,N,,,Range,
13_4D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
13_4D,28,Which state bordering Vietnam has the same value as Hainan?,Guangxi,,Y,,,List,
13_4D,15,List the states in the East China Sea region with the highest values.,Zhejiang,,N,,,List,
14_7D,19,Yes or no: the value of Shandong is higher than Shanghai.,Yes,d,N,,,Binary,
14_7D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
14_7D,31,Yes or no: a majority of states bordering India belong to the lowest range.,Yes,,N,,,Binary,
14_7D,28,Which states in South China sea region has the same value as Shandong?,Guangdong,,N,,,List,
14_7D,3,What is the overall range of the legend?,1043 - 74732.40,,N,,,Range,
14_7D,26,Which states bordering India have a value higher than 16780.90?,None,,N,,,List,
14_7D,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,,N,,,Binary,
14_7D,42,"Yes/No: Hainan has a lower value than state Shandong, and also have a higher value than state Tibet.",No,,N,,,Binary,
14_7D,33,Yes or no: Sichuan and Guizhou are a pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
14_7D,16,What value range does Hainan fall in?,1042.99-10.710.25,,N,1042.99-10.710.25,,Range,
16_0D,27,Which states bordering North Korea have a value similar to Shanghai?,None,d,N,,,List,
16_0D,5,Yes or no: the legend has multiple distinct colours.,Yes,,N,,,Binary,
16_0D,22,Yes or no: States bordering Xinjiang have lower values on average than states bordering Fujian.,Yes,,Y,,,Binary,
16_0D,9,Does state Hainan fall in the lowest range?,Yes,,N,,,Binary,
16_0D,21,Yes or no: state Tianjin has the least value in the East China Sea region.,Yes,,N,,,Binary,
16_0D,33,Yes or no: Shandong and Jiangsu are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
16_0D,26,Which states bordering Yunnan have a value higher than 1187.5?,Sichuan,,Y,,,List,
16_0D,11,Which states bordering Vietnam belong to the lowest range?,None,,Y,,,List,
16_0D,23,How many coastal states have a value higher than 1678.40?,4,,N,,,Count,
16_0D,12,What is the highest value range in the south-east region?,1678.40 - 5068.50,,N,,,Range,
17_4D,38,Yes or no: the value of Shandong is below the median value amongst states in coastal region.,No,d,N,,,Binary,
17_4D,37,Which state borders only states from range 191.50 - 975.60?,Shanghai,,N,,,Single,
17_4D,28,Which state in north east China has the same value as state Hunan?,None,,N,,,List,
17_4D,21,Yes or no: Hainan has the least value in the south-east region.,Yes,,N,,,Binary,
17_4D,4,What value range does the second lightest shade represent?,33.10 - 42.90,,N,,,Range,
17_4D,42,"Yes/No: Zhejiang has a higher value than Ningxia, and also have a similar value as Fujian.",Yes,,N,,,Binary,
17_4D,15,List the state bordering Mongolia with the lowest values.,Gansu,,N,what about NX?,,List,
17_4D,40,Which pair of states belonging to the range 33.10 - 42.90 are the closest to each other?,Inner Mongolia and Shaanxi,,N,,,List,
17_4D,31,Yes or no: a majority of states in the north east China belong to the highest range.,No,,N,,,Binary,
17_4D,11,Which states bordering India belong to the lowest range?,Tibet,,N,,,List,
18_4D,33,Yes or no: Beijing and Tianjin are the pair of bordering states with the highest difference.,Yes,d,Y,,,Binary,
18_4D,13,Which state has the highest value in the South China Sea region?,Guangdong,,N,,,Single,
18_4D,32,Yes or no: Beijing is an outlier compared to other states in the northeast region.,Yes,,N,,,Binary,
18_4D,40,Which pair of states belonging to the range 18.20 - 26.10 are the farthest from each other?,Xinjiang and Hainan,,N,,,List,
18_4D,15,List the state bordering Russia with the lowest values.,Heilongjiang,,N,,,List,
18_4D,23,How many states bordering India have a value higher than 141.90?,0,,N,,,Count,
18_4D,18,Yes or no: the value of Sichuan is higher than its neighbouring state Qinghai.,Yes,,Y,,,Binary,
18_4D,5,Yes or no: the legend has multiple distinct colours.,Yes,,N,is this yes?,,Binary,
18_4D,3,What is the overall range of the legend?,2.49 - 203.70,,N,,,Range,
18_4D,12,What is the highest value range in the North Korea border region?,26.10 - 46.40,,N,,,Range,
19_3D,21,Yes or no: state Guangdong has the highest value in the South China sea region.,Yes,d,N,,,Binary,
19_3D,18,Yes or no: the value of Shanghai is higher than its neighbouring state Zhejiang.,No,,Y,,,Binary,
19_3D,16,What value range does Qinghai fall in?,6.09 - 21.00,,N,,,Range,
19_3D,22,Yes or no: States bordering East China sea have higher values on average than states bordering India.,Yes,,N,,,Binary,
19_3D,40,Which pair of states belonging to the lowest range are the closest to each other?,Tibet and Qinghai; Beijing and Tianjin,,N,,,List,multiple possible color answers
19_3D,4,What value range does the darkest shade represent?,6.09 - 21.0,,N,isn't darkest is 6.09-21.0?,,Range,
19_3D,26,Which states bordering Shandong have a value higher than 49.8?,"Henan, Jiangsu, Anhui, Hebei",,Y,isn't this none?,,List,
19_3D,19,Yes or no: the value of Hebei is similar to the state Anhui.,No,,N,no?,,Binary,
19_3D,34,Yes or no: Guangdong is the South most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
19_3D,42,"Yes/No: Zhejiang has a higher value than Guizhou, and a similar value as Hubei.",Yes,,N,,,Binary,
20_4D,1,How many distinct categories does the legend contain?,6,d,N,,,Count,
20_4D,3,What is the overall range of the legend?,122.99 - 47456.00,,N,,,Range,
20_4D,9,Does Hainan fall in the lowest range?,Yes,,N,,,Binary,
20_4D,34,Yes or no: Xinjiang is the West most state that has a similar value compared to all its neighbours.,Yes,,Y,,,Binary,
20_4D,39,Yes or no: all states in the East China Sea region have values above 8130.00,No,,N,no because SH has different value,,Binary,
20_4D,30,Does Shanghai have the same value as Zhejiang amongst the states in the East China Sea region.,No,,N,,,Binary,
20_4D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
20_4D,20,Name the South most state that belongs to a higher value range compared to all its neighbours.,Guangdong,,Y,,,Single,
20_4D,16,What value range does Shandong fall in?,17470 - 47456,,N,,,Range,
20_4D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
21_1D,17,Count the states with the values in the range 12.50 - 20.10 in the East China Sea region.,2,d,N,,,Count,
21_1D,33,Yes or no: Xinjiang and Tibet are a pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
21_1D,39,Yes or no: all states in the North-East region have values in the range 5.70 - 9.60.,No,,N,,,Binary,
21_1D,41,Are the legends evenly spaced?,No,,N,,,Single,
21_1D,34,Yes or no: Xinjiang is the West-most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
21_1D,9,Does Gansu fall in the range 5.70 - 9.60?,Yes,,N,9.6-12.5?,,Binary,
21_1D,31,Yes or no: a majority of states bordering North Korea belong to range greater than 5.70.,Yes,,N,,,Binary,
21_1D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
21_1D,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,,N,,,Binary,
21_1D,28,Which state in the South China Sea region has the same value as Tibet?,Hainan,,N,,,List,
22_0D,23,How many states in the East China Sea region have a value lower than 107.74?,0,d,N,,,Count,
22_0D,40,Which pair of states belonging to the range 234.24 - 288.32 are the closest to each other?,Sichuan and Chongqing,,N,,,List,
22_0D,28,Which state bordering Mongolia has the same value as Fujian?,None,,N,I think it is LN?,,List,
22_0D,26,Which coastal states have a value higher than 578.29?,"Guangdong, Shandong, Jinagsu, Zhejiang",,N,,,List,
22_0D,37,Which state borders only states from range 5.85 - 107.74?,Xinjiang,,N,,,Single,
22_0D,17,Count the states with the values in the highest range in the East China Sea region.,3,,N,,,Count,
22_0D,12,What is the highest value range in the region bordering North Korea?,288.32 - 578.29,,N,,,Range,
22_0D,33,Yes or no: Tibet and Qinghai are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
22_0D,4,What value range does the darkest shade represent?,5.84 - 107.74,,N,5.84-107.74?,,Range,
22_0D,42,Yes/No: Jinagxi has a similar value as Guangxi and also Jilin.,Yes,,N,,,Binary,
22_8D,21,Yes or no: state Tibet has the least value in the Indian border region.,Yes,d,N,,,Binary,
22_8D,17,Count the states with the values in the highest range in the region bordering Bhutan.,0,,N,,,Count,
22_8D,27,Which states in the South China Sea region have a value higher than Liaoning?,Guangdong,,N,,,List,
22_8D,33,Yes or no: Qinghai and Sichuan are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
22_8D,15,List the 3 states in the East China Sea region with the highest values.,"Shandong, Jiangsu, Zhejiang",,N,,,List,
22_8D,11,Which states bordering Russia belong to the highest range?,None,,N,,,List,
22_8D,18,Yes or no: the value of Guizhou is similar to its neighbouring state Guangxi.,Yes,,Y,,,Binary,
22_8D,23,How many states in the East China sea region have a value higher than 58.09?,6,,N,,,Count,
22_8D,20,Name the South-most state that belongs to a higher value range compared to all its neighbours.,Guangdong,,Y,,,Single,
22_8D,3,What is the overall range of the legend?,58.09 - 3454.27,,N,,,Range,
23_1D,18,Yes or no: the value of Sichuan is higher than its neighbouring state Yunnan.,Yes,d,Y,,,Binary,
23_1D,16,What value range does Hainan fall in?,44.49 - 261.30,,N,,,Range,
23_1D,33,Yes or no: Tibet and Sichuan are the pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
23_1D,43,"Rank the states Guangxi, Hunan and Guangdong in terms of the legend value in the southeast region.",Guangdong > Hunan > Guangxi,,N,,,Rank,
23_1D,19,Yes or no: the value of Tibet is similar to Qinghai.,Yes,,N,,,Binary,
23_1D,1,How many distinct categories does the legend contain?,6,,N,,,Count,
23_1D,5,Yes or no: the legend has multiple distinct colours.,Yes,,N,,,Binary,
23_1D,4,What value range does the lightest shade represent?,759.5 - 2110.9,,N,563.2-759.5,,Range,
23_1D,9,Does Hainan fall in the range 44.50 - 261.30?,Yes,,N,,,Binary,
23_1D,12,What is the least value range in the East China Sea region?,44.50 - 261.30,,N,,,Range,
23_8D,28,Which state bordering Russia has the same value as Hainan?,Inner Mongolia,d,N,,,List,
23_8D,43,"Rank the states Jilin, Liaoning and Tianjin in terms of the legend value in the northeast region.",Tianjin < Jilin < Liaoning,,N,,,Rank,
23_8D,36,Name the East-most state in the range 419.60 - 597.90.,Heilongjiang,,N,,,Single,
23_8D,11,Which states bordereing India belong to range 32.50 - 301.50?,Tibet,,N,,,List,
23_8D,5,Yes or no: the legend has multiple distinct colours.,Yes,,N,,,Binary,
23_8D,12,What is the highest value range in the East China Sea region?,755.90 - 1973.30,,N,,,Range,
23_8D,15,List the coastal states with the lowest values.,"Hainan, Tianjin",,N,,,List,
23_8D,26,Which states in the South China region have a value higher than 755.90?,Guangdong,,N,,,List,
23_8D,33,Yes or no: Henan and Anhui are the pair of bordering states with the highest difference.,Yes,,Y,but also XZ and SC??,,Binary,
23_8D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
1_3D,43,"Rank the states Jilin, Xinjiang and Zhejiang in terms of the legend value.",Zhejiang > Jilin > Xinjiang,d,N,,,Rank,
1_3D,33,Yes or no: Beijing and Hebei are a pair of bordering states with the highest difference.,Yes,,Y,,,Binary,
1_3D,16,What value range does Hainan fall in?,12768.50 - 14384.00,,N,,,Range,
1_3D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
1_3D,18,Yes or no: the value of Inner Mongolia is higher than its neighbouring state Gansu.,Yes,,N,,,Binary,
1_3D,27,Which states in the East China Sea region have a value similar to Ningxia?,"Shandong, Fujian",,N,"it is asking which, it is only FJ?",,List,
1_3D,35,How many states in the South China Sea region have a value similar to Beijing?,1,,N,,,Count,
1_3D,21,Yes or no: Tibet has the highest value in south east region.,No,,N,,,Binary,
