map_no,template_no,question,ground_truth,c_or_d,relative_region (y/n),comments,type (Single/list/Binary/Count/Range etc),type,
12_2C,5,Yes or no: the legend has multiple distinct colours?,No,,N,,,Binary,
12_2C,32,Yes or no: Fujian is an outlier compared to other states bordering the South China Sea,No,,Y,,,Binary,
21_1C,28,Which state in the region including the bordering countries of Mongolia have the closest value to Shanxi?,Xinjiang,,N,,,List,
21_1C,40,Which pair of states belonging to the range -10 - -5 are the closest to each other?,"Guizhou, Shanxi",,N,,,List,
21_1C,35,How many states in the region bordering Laos have a higher value than Guangxi?,0,,Y,,,Count,
21_1C,15,List the 1 state in the region East China with the highest value.,Anhui,,N,,,List,
21_1C,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,,N,,,Binary,
21_1C,34,Yes or no: Shanxi is the east state that has a higher value compared to all its neighbours?,No,,Y,,,Binary,
21_1C,19,Yes or no: the value of the Hubei is higher than that of Yunnan.,Yes,,N,,,Binary,
21_1C,39,Yes or no: all states in East China have values above -5.,Yes,,N,,,Binary,
21_1C,31,Yes or no: a majority of states in the region bordering Xinjiang have values less than -10?,No,,Y,,,Binary,
21_1C,33,Yes or no: Sichuan and Yunnan are the pair of bordering states with the highest difference?,No,,Y,,,Binary,
20_0C,10,Is the value of Guangdong closer to 70k or 10k?,70k,,N,,,Single,
20_0C,9,Does the value of Xinjiang fall in range 30k - 40k?,No,,N,,,Binary,
20_0C,26,Which states in region bordering Inner Mongolia have a value higher than 50k?,None,,N,,,List,
20_0C,11,Which states in the region South China belong to range 30k - 40k?,Fujian,,N,,,List,
20_0C,27,Which states in region North China have a value lower than state Hebei?,"Inner Mongolia, Shanxi, Beijing, Tianjin",,N,,,List,
20_0C,42,"Yes/No: Hubei has a higher value than Jiangsu, and also have a higher value than Anhui",No,,N,,,Binary,
20_0C,16,Between which two legend markings does state Guangxi fall in?,10k - 20k,,N,,,Range,
20_0C,23,How many states in region Northeast China have a value lower than 0?,0,,N,,,Count,
20_0C,15,List the 2 states in the region East China with the highest values.,"Jiangsu, Zhejiang",,N,,,List,
20_0C,3,What is the overall range of the legend?,<0 - 70k,,N,,,Range,
19_4D,30,Does Xinjiang have the same value as Tibet?,No,,N,,,Binary,
19_4D,28,Which states in the region bordering Vietnam have the same value to Guangxi?,Yunnan,,Y,,,List,
19_4D,27,Which states in the region bordering Mongolia have a value lower than Inner Mongolia?,"Xinjiang, Gansu",,N,,,List,
19_4D,41,Are the legends evenly spaced?,No,,N,,,Single,
19_4D,5,Yes or no: the legend has different shades of the same colour?,No,,N,,,Binary,
19_4D,16,What value range does Sichuan fall in?,50.9 - 71.2,,N,,,Range,
19_4D,19,Yes or no: the value of the Yunnan is higher than Guizhou.,Yes,,N,,,Binary,
19_4D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
19_4D,13,Which state has the highest value in the region bordering India?,,,N,,,Single,
19_4D,25,What is the median range of the states in the region bordering Laos?,36.1 - 45.3,,Y,,,Range,
18_2D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
18_2D,24,Yes or no: the median state range in the region bordering Vietnam is 23.7 - 36.0,No,,Y,,,Binary,
18_2D,15,List the state in the region bordering Myanmar with the highest value.,Yunnan,,Y,,,List,
18_2D,31,Yes or no: a majority of states in the region bordering Mongolia have values more than 66.1.,No,,N,,,Binary,
18_2D,33,Yes or no: Xinjiang and Tibet are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
18_2D,34,Yes or no: Hainan is the Southmost state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
18_2D,32,Yes or no: state Tibet is an outlier compared to other states in the same region,No,,N,,,Binary,
18_2D,35,How many states in the region bordering South Korea have a value lower than state Beijing?,0,,Y,,,Count,
18_2D,26,Which states in the region bordering North Korea have a value higher than 36.0?,Liaoning,,N,,,List,
18_2D,12,What is the highest value range in the region bordering Russia?,23.7 - 36.0,,N,,,Range,
17_2D,11,Which states in the region bordering Vietnam belong to range 53.3 - 71.6?,Guangxi,,Y,,,List,
17_2D,22,Yes or no: States of the region bordering Mongolia have lower values on average than states of the region bordering Myanmar.,Yes,,N,,,Binary,
17_2D,9,Does Xinjiang fall in range 6.09 - 35.7?,No,,N,,,Binary,
17_2D,20,Name the westmost state that belongs to the higher category compared to all its neighbours.,Xinjiang,,Y,,,Single,
17_2D,23,How many states in the region bordering Russia have a value lower than 53.3?,2,,N,,,Count,
17_2D,42,"Yes/No: Sichuan has a higher value than Yunnan, and also has a higher value than Guizhou",No,,N,,,Binary,
17_2D,4,What value range does the second lightest shade represent?,166.9 - 232.6,,N,,,Range,
17_2D,18,Yes or no: the value of Guangxi is lower to its neighbouring state Guangdong.,Yes,,Y,,,Binary,
17_2D,3,What is the overall range of the legend?,6.09 - 1027.6,,N,,,Range,
17_2D,17,Count the states with the values in range 232.6 - 1027.6 in the region bordering the South China Sea.,2,,Y,,,Count,
16_3D,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,,N,,,Binary,
16_3D,36,Name the westmost state in the range 1194.2 - 3637.8,Sichuan,,N,,,Single,
16_3D,21,Yes or no: Tibet has the highest value in the region of the Himalayas.,No,,N,,,Binary,
16_3D,40,Which pair of states belonging to the range 981.7 - 1194.2 are the closest to each other?,"Henan, Anhui",,N,,,List,
16_3D,8,Which class has the largest range of values?,1194.2 - 3637.8,,N,,,Range,
16_3D,1,How many distinct categories does the legend contain?,6,,N,,,Count,
16_3D,39,Yes or no: all states neighboring Xinjiang have values above 362.5.,No,,N,,,Binary,
16_3D,37,Which state bordering Tibet borders at least 3 states from range 362.5 - 615.2?,Sichuan,,Y,,,Single,
16_3D,43,"Rank the states Tibet, Xinjiang and Sichuan in terms of the legend value.",Tibet = Xinjiang < Sichuan,,N,,,Rank,
16_3D,29,Which range has the most number of states?,81.69 - 362.5,,N,,,Range,
19_0C,30,Does Tibet have the same value to state Xinjiang amongst the states in region Western China.,No,,N,,,Binary,
19_0C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
19_0C,38,Yes or no: the value of state Tibet is above the median value amongst states in region Western China.,No,,N,,,Binary,
19_0C,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,,N,,,Binary,
19_0C,34,Yes or no: Inner Mongolia is the northmost state that has a higher value compared to all its neighbours.,No,,N,,,Binary,
19_0C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
19_0C,5,Yes or no: the legend has multiple distinct colours?,No,,N,,,Binary,
19_0C,31,Yes or no: a majority of states in region Western China have values less than 250,Yes,,N,,,Binary,
19_0C,27,Which states in region Western China have a value similar to Tibet?,Qinghai,,N,,,List,
19_0C,23,How many states in region eastern China have a value lower than 50?,0,,N,,,Count,
18_3C,36,Name the South-most state with values in range >250,Guangdong,,N,,,Single,
18_3C,28,Which state in region bordering Tibet have the closest value to state Sichuan?,Yunnan,,Y,,,List,
18_3C,18,Yes or no: the value of Guangdong is lower to its neighbouring state Fujian.,No,,Y,,,Binary,
18_3C,35,How many states in region bordering Mongolia have a value higher than state Shandong?,0,,N,,,Count,
18_3C,10,Is the value of state Beijing closer to 50 or 200?,200,,N,,,Single,
18_3C,19,Yes or no: the value of Jiangsu is higher than Hunan.,Yes,,N,,,Binary,
18_3C,11,Which states in the region South China belong to range 200 - 250?,None,,N,,,List,
18_3C,43,"Rank the states Xinjiang, Gansu and Qinghai in terms of the legend value in region Northwest China.",Qinghai < Gansu < Xinjiang,,N,,,Rank,
18_3C,3,What is the overall range of the legend?,<0 - >250,,N,,,Range,
18_3C,13,Which state has the lowest value in the region Northeast China?,Heilongjiang,,N,,,Single,
17_2C,16,Between which two legend markings does Xinjiang fall in?,0 - 200,,N,,,Range,
17_2C,15,List the state in the region bordering Mongolia with the highest value.,Inner Mongolia,,N,,,List,
17_2C,39,Yes or no: all states in region bordering Vietnam have values above 600.,No,,Y,,,Binary,
17_2C,9,Does the value of Guangdong fall in range 200-400?,No,,N,,,Binary,
17_2C,32,Yes or no: Tibet is an outlier compared to other states bordering Tibet.,No,,Y,,,Binary,
17_2C,21,Yes or no: Shandong has the highest value in the region East of the Yellow Sea.,No,,N,,,Binary,
17_2C,26,Which states in the region bordering North Korea have a value lower than 0?,Heilongjiang,,N,,,List,
17_2C,42,"Yes/No: Hunan has a higher value than state Heinan, and also have a higher value than state Hubei",No,,N,,,Binary,
17_2C,24,Yes or no: the median state value in region bordering Laos lies between 800 and 1000.,No,,Y,,,Binary,
17_2C,17,Count the states with the values in range 400-600 in the region bordering Laos.,0,,Y,,,Count,
16_3C,33,Yes or no: Xinjiang and Tibet are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
16_3C,40,Which pair of states belonging to the range of states bordering Vietnam are the closest to each other?,"Yunnan, Guangxi",,Y,,,List,
16_3C,20,Name the East-most state that has a higher value compared to all its neighbours.,Jiangsu,,Y,,,Single,
16_3C,22,Yes or no: States of the region bordering Mongolia have higher values on average than states of the region bordering Vietnam.,No,,N,,,Binary,
16_3C,26,Which states in the region bordering Laos have a value lower than 2500?,Yunnan,,Y,,,List,
16_3C,11,Which states in the region of South China belong to the range 3000 - 3500?,Guangdong,,N,,,List,
16_3C,32,Yes or no: state Xinjiang is an outlier compared to other states in the region of Northwest China.,No,,N,,,Binary,
16_3C,17,Count the states with values between 0 to 500 in the region of East China.,0,,N,,,Count,
16_3C,35,How many states in the region of Northeast China have value lower than the state of Guangdong?,3,,N,,,Count,
1_2D,32,Yes or no: Xinjiang is an outlier compared to other states in the region of Northwest China.,No,,N,,,Binary,
1_2D,15,List the 3 states in the region of Northwest China with the highest values.,"Ningxia, Shaanxi, Qinghai",,N,,,List,
1_2D,22,Yes or no: States of region of Northwest China have higher values on average than states of region of Southwest China.,Yes,,N,,,Binary,
1_2D,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,,,Binary,
1_2D,41,Are there significant gaps between certain ranges?,Yes,,N,,,Single,
1_2D,13,Which state has the highest value in the region of Northwest China?,Ningxia,,N,,,Single,
1_2D,40,Which pair of states belonging to the range 16289.0 - 20831.0 are the closest to each other?,"Chongqing, Hubei",,N,,,List,
1_2D,36,Name the East-most state in the range 14152.5 - 16289.0,Jilin,,N,,,Single,
1_2D,9,Does state Xinjiang fall in range 20831.5 - 45816.0?,No,,N,,,Binary,
2_4D,30,Does Xinjiang have the same value to Tibet?,No,,N,,,Binary,
2_4D,8,Which class has the largest range of values?,17.0 - 51.9,,N,,,Range,
2_4D,11,Which states in region Northwest China belong to range 17.0 - 51.9?,Qinghai,,N,,,List,
2_4D,28,Which states in region Western China have the same value to Xinjiang?,Gansu,,N,,,List,
2_4D,23,How many states in region Northwest China have a value in range 7.2 - 17.0?,0,,N,,,Count,
2_4D,17,Count the states with the values in range 17.0 - 51.9 in the region South China.,1,,N,,,Count,
2_4D,39,Yes or no: all states in region Southern China have values above 17.0,No,,N,,,Binary,
2_4D,26,Which states in region Northwest China have a value lower than -18.3?,Ningxia,,N,,,List,
2_4D,6,Yes or no: the map depicts absolute values.,No,,N,,,Binary,
2_4D,33,Yes or no: Tibet and Xinjiang are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
3_3D,20,Name the northmost state that belongs to the highest category compared to all its neighbours.,Sichuan,,Y,,,Single,
3_3D,6,Yes or no: the map depicts absolute values.,Yes,,N,,,Binary,
3_3D,31,Yes or no: a majority of states in the region around the capital belong to values greater than 3.5,No,,N,,,Binary,
3_3D,16,What value range does Xinjiang fall in?,1.39 - 2.6,,N,,,Range,
3_3D,4,What value range does the darkest shade represent?,1.39 - 2.6,,N,,,Range,
3_3D,42,"Yes/No: Sichuan has a higher value than Guizhou, and also have a higher value than Yunnan",Yes,,N,,,Binary,
3_3D,21,Yes or no: Guangxi has the lowest value in the region bordering South China Sea.,Yes,,Y,,,Binary,
3_3D,12,What is the highest value range in the region around the capital?,3.4 - 3.5,,N,,,Range,
3_3D,37,Which state in the region borderring Mongolia borders at least 2 states from range 3.5 - 4.0?,Inner Mongolia,,N,,,Single,
3_3D,24,Yes or no: the median state range in the region around the capital is 3.4 - 3.5.,No,,N,,,Binary,
5_0D,27,Which states in the region bordering Vietnam have a value higher than state Guangxi?,Yunnan,,Y,,,List,
5_0D,2,Yes or no: in the legend the colour darkness is inversely proportional to the value.,Yes,,N,,,Binary,
5_0D,35,How many states in region bordering Xinjiang have a value lower than state Xinjiang?,0,,Y,,,Count,
5_0D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
5_0D,34,Yes or no: Hainan is the South-most state that has a higher value compared to all its neighbours.,No,,Y,,,Binary,
5_0D,3,What is the overall range of the legend?,4.96 - 9.09,,N,,,Range,
5_0D,19,Yes or no: the value of the Tibet is higher than Sichuan.,No,,N,,,Binary,
5_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
5_0D,38,Yes or no: the value of Yunnan is above the median value amongst states in region bordering Myanmar.,Yes,,Y,,,Binary,
5_0D,29,Which range has the fewest number of states?,4.96 - 6.34,,N,,,Range,
2_1C,22,Yes or no: States of the region bordering Xinjiang have higher values on average than states of the region bordering Tibet.,Yes,,Y,,,Binary,
2_1C,40,Which pair of states belonging to the range 40 - 50 are the closest to each other?,"Ningxia, Shanxi",,N,,,List,
2_1C,20,Name the East-most state that has a higher value compared to all its neighbours.,Heilongjiang,,Y,,,Single,
2_1C,38,Yes or no: the value of state Jiangsu is above the median value amongst states in region East China.,Yes,,N,,,Binary,
2_1C,36,Name the North-most state with values in range 30 - 40.,Heilongjiang,,N,,,Single,
2_1C,18,Yes or no: the value of the state Zhejiang is higher to its neighbouring state Anhui.,No,,Y,,,Binary,
2_1C,34,Yes or no: Guangxi is the South-most state that has a higher value compared to all its neighbours.,No,,Y,,,Binary,
2_1C,35,How many states in region South China have a value higher than state Guangdong?,0,,N,,,Count,
2_1C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
2_1C,27,Which states in region East China have a value lower than state Jiangxi?,"Zhejiang, Shandong",,N,,,List,
3_0C,30,Does Xinjiang have the same value to state Tibet?,No,,N,,,Binary,
3_0C,42,"Yes/No: Sichuan has a higher value than Tibet, and also has a similar value to Qinghai",No,,N,,,Binary,
3_0C,26,Which states in the region bordering Mongolia have a value lower than 4.5?,"Inner Mongolia, Gansu, Xinjiang",,N,,,List,
3_0C,2,Yes or no: in the legend the colour darkness is inversely proportional to the value.,No,,N,,,Binary,
3_0C,19,Yes or no: the value of the state Guangdong is similar to state Guangxi.,Yes,,N,,,Binary,
3_0C,10,Is the value of state Sichuan closer to Shanxi or Gansu?,Shanxi,,N,,,Single,
3_0C,33,Yes or no: Heilongjiang and Jilin are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
3_0C,15,List the 2 states in the region bordering North Korea with the highest values.,"Liaoning, Jilin",,N,,,List,
3_0C,32,Yes or no: Hainan is an outlier compared to other states in the region bordering South China Sea.,No,,Y,,,Binary,
3_0C,31,Yes or no: a majority of states in the region bordering Laos have values greater than 2.,Yes,,Y,,,Binary,
4_3C,9,Does the value of state Tibet fall in range -30 - -20?,No,,N,,,Binary,
4_3C,5,Yes or no: the legend has multiple distinct colours?,No,,N,,,Binary,
4_3C,24,Yes or no: the median state value in region bordering Tibet lies between -10 and 10.,Yes,,Y,,,Binary,
4_3C,17,Count the states with the values in range -40 - -30 in the region bordering Xinjiang.,0,,Y,,,Count,
4_3C,23,How many states in region bordering Tibet have a value lower than -20?,0,,Y,,,Count,
4_3C,16,Between which two legend markings does state Xinjiang fall in?,-10 - 0,,N,,,Range,
4_3C,21,Yes or no: state Xinjiang has the highest value in the northwest region.,No,,N,,,Binary,
4_3C,11,Which states in the region bordering Mongolia belong to range >20?,Gansu,,N,,,List,
4_3C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
4_3C,39,Yes or no: all states in region bordering South China Sea have values above -10.,Yes,,Y,,,Binary,
5_4C,13,Which state has the highest value in the region bordering Vietnam?,Yunnan,,Y,,,Single,
5_4C,43,"Rank the states Heilongjiang, Jilin and Liaoning in terms of the legend value in the northeast region.",Jilin < Heilongjiang < Liaoning,,N,,,Rank,
5_4C,3,What is the overall range of the legend?,4.5 - >7,,N,,,Range,
5_4C,28,Which state in the region bordering Laos have the closest value to Sichuan?,Yunnan,,Y,,,List,
5_4C,20,Name the East-most state that has a higher value compared to all its neighbours.,Heilongjiang,,Y,,,Single,
5_4C,28,Which state in the region bordering North Korea have the furthest value to Sichuan?,Jilin,,N,,,List,
5_4C,18,Yes or no: the value of the state Guangdong is higher to its neighbouring state Guangxi.,No,,Y,,,Binary,
5_4C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
5_4C,24,Yes or no: the median state value in the region bordering Myanmar lies between 20 and 30.,No,,Y,,,Binary,
5_4C,33,Yes or no: Qinghai and Tibet are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
6_2D,42,"Yes/No: Xinjiang has a higher value than Tibet, and also has a higher value than Qinghai",Yes,,N,,,Binary,
6_2D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
6_2D,2,Yes or no: in the legend the colour darkness is directly proportional to the value.,Yes,,N,,,Binary,
6_2D,27,Which states in the region bordering Vietnam have a value higher than Guangdong?,None,,Y,,,List,
6_2D,33,Yes or no: Guangdong and Guangxi are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
6_2D,30,Does Yunnan have the most different value to Guangxi amongst the states in the region bordering Vietnam.,No,,Y,,,Binary,
6_2D,12,What is the highest value range in the region bordering North Korea?,4.6 - 26.7,,N,,,Range,
6_2D,32,Yes or no: Hainan is an outlier compared to other states in the region bordering South China Sea.,No,,Y,,,Binary,
6_2D,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,,,Binary,
6_2D,37,Which state in the region bordering Mongolia borders at least 2 states from range -22.81 - -1.4?,Inner Mongolia,,N,,,Single,
8_0D,38,Yes or no: the value of state Xinjiang is below the median value amongst states in the region bordering Tibet.,No,,Y,,,Binary,
8_0D,28,Which states in the region of the Tibetan Plateau have the same value to Yunnan?,Gansu,,N,,,List,
8_0D,22,Yes or no: States of region South China have higher values on average than states of region North China.,Yes,,N,,,Binary,
8_0D,8,Which class has the largest range of values?,0.66 - 8.76,,N,,,Range,
8_0D,40,Which pair of states belonging to the range N/A are the closest to each other?,None,,N,,,List,
8_0D,13,Which state has the highest value in the region of North China?,-0.28 - 0.66,,N,,,Single,
8_0D,20,Name the northmost state that belongs a higher value range compared to all its neighbours.,Beijing,,Y,,,Single,
8_0D,17,Count the states with the values in range -5.76 - -1.91 in the region South China.,0,,N,,,Count,
8_0D,41,Are the legends evenly spaced?,No,,N,,,Single,
8_0D,3,What is the overall range of the legend?,-5.76 - 8.76,,N,,,Range,
8_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
11_5D,18,Yes or no: the value of the Xinjiang is higher than its neighbouring state Tibet.,Yes,,Y,,,Binary,
11_5D,9,Does state Tibet fall in range 10.35 - 307.49?,Yes,,N,,,Binary,
11_5D,35,How many states in region Eastern China have a value lower than state Guangdong?,2,,N,,,Count,
11_5D,43,"Rank the states Sichuan, Yunnan and Guizhou in terms of the legend value in region Southwestern China.",Guizhou < Yunnan < Sichuan,,N,,,Rank,
11_5D,15,List the state in the region Southern China with the highest values.,Guangdong,,N,,,List,
11_5D,23,How many states in region Northern China have a value higher than 1222.33?,1,,N,,,Count,
11_5D,24,Yes or no: the median state range in region bordering Mongolia is 307.49 - 670.77.,No,,N,,,Binary,
11_5D,34,Yes or no: Xinjiang is the West-most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
11_5D,31,Yes or no: a majority of states in region Northeastern China belong to range 1222.33 - 2232.68.,No,,N,,,Binary,
11_5D,39,Yes or no: all states in region Southern China have values above 307.49.,Yes,,N,,,Binary,
14_0D,26,Which states in the region bordering Inner Mongolia have a value lower than 17087.45?,4,,N,,,List,
14_0D,11,Which states in region bordering Xinjiang belong to range 17087.45 - 28826.1?,0,,Y,,,List,
14_0D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
14_0D,4,What value range does the darkest shade represent?,2150.19 - 17087.45,,N,,,Range,
14_0D,36,Name the East-most state in the range 28826.1 - 49661.85.,Shanghai,,N,,,Single,
14_0D,25,What is the median range of the states in region Southwest China?,17087.45 - 28826.1,,N,,,Range,
14_0D,29,Which range has the smallest number of states?,2150.19 - 17087.45,,N,,,Range,
14_0D,21,Yes or no: state Sichuan has the highest value in region Southwest China.,Yes,,N,,,Binary,
14_0D,19,Yes or no: the value of the state Guizhou is higher than state Hunan.,No,,N,,,Binary,
14_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
6_1C,13,Which state has the highest value in the region bordering Vietnam?,Guangxi,,Y,,,Single,
6_1C,23,How many states in the region bordering the South China Sea have a value lower than -15?,0,,Y,,,Count,
6_1C,9,Does the value of Qinghai fall in range 10 - 15?,No,,N,,,Binary,
6_1C,42,"Yes/No: Sichuan has a higher value than Hubei, and also has a higher value than Hunan",No,,N,,,Binary,
6_1C,16,Between which two legend markings does Xinjiang fall in?,10 - 15,,N,,,Range,
6_1C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
6_1C,38,Yes or no: the value of Shandong is above the median value amongst states in the region bordering the Yellow Sea.,No,,Y,,,Binary,
6_1C,40,Which pair of states belonging to the range 10 - 15 are the closest to each other?,"Xinjiang, Guangxi",,N,,,List,
6_1C,2,Yes or no: in the legend the colour darkness is directly proportional to the value.,Yes,,N,,,Binary,
6_1C,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,,,Binary,
8_6C,22,Yes or no: States bordering Tibet have higher values on average than states of the region surrounding Beijing.,Yes,,Y,,,Binary,
8_6C,17,Count the states with the values in range 0 - 2 in the region bordering Inner Mongolia.,3,,N,,,Count,
8_6C,15,List the 3 states in the region bordering Xinjiang with the highest values.,"Tibet, Qinghai, Gansu",,Y,,,List,
8_6C,32,Yes or no: state Hainan is an outlier compared to other states in the region bordering South China Sea,No,,Y,,,Binary,
8_6C,19,Yes or no: the value of the state Guangdong is higher than state Guangxi.,No,,N,,,Binary,
8_6C,26,Which states in region bordering Sichuan have a value higher than 8?,Tibet,,Y,,,List,
8_6C,11,Which states in the region east of the country belong to range <0?,None,,N,,,List,
8_6C,20,Name the Northmost state that has a higher value compared to all its neighbours.,Xinjiang,,Y,,,Single,
8_6C,24,Yes or no: the median state value in region bordering Hunan lies between 4 and 8.,Yes,,Y,,,Binary,
8_6C,21,Yes or no: state Shandong has the lowest value in region bordering the Yellow Sea.,No,,Y,,,Binary,
8_6C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
8_6C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,