map_no,template_no,question,ground_truth,verified answer,c_or_d,relative_region (y/n),
8808,20,Name the North most state that belongs to a higher value range compared to all its neighbours.,Washington,Washington,d,Y,
8808,21,Yes or no: state Georgia has the highest value in the south east region.,No,No,,N,
8808,12,What is the highest value range in the west coast region?,1937-6710,1937-6710,,N,
8808,32,Yes or no: state California is an outlier compared to its neighbours.,Yes,Yes,,Y,
8808,1,How many distinct categories does the legend contain?,4,4,,N,
8808,36,Name the Northern most state in the range 550-1094.,Minnesota,Minnesota,,N,
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,2,,N,
8808,26,Which states bordering Texas have a value higher than Indiana?,None,None,,Y,
8808,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
8808,43,"Rank the states California, Oregon, and Washington in terms of the legend value in the West Coast region?",Oregon < Washington < California,Oregon < Washington < California,,Y,
5,7,Is the legend discrete or continuous?,Continuous,Continuous,c,N,
5,19,Yes or no: the value of the state Florida is similar to state Maine.,No,No,,N,
5,42,"Yes/No: Kentucky has a lower value than state Florida, and also a similar value as state Montana.",Yes,Yes,,N,
5,34,Yes or no: Maine is the North eastern-most state that has a similar value compared to all its neighbours.,Yes,Yes,,Y,
5,30,Does California have the same value to state Oregon?,Yes,Yes,,N,
5,33,Yes or no: Florida and Alabama are the pair of bordering states with the highest difference.,Yes,Yes,,Y,
5,16,What value range does state Texas fall in?,20M - 30M,20M - 30M,,N,
5,28,Which state in the east coast region has a similar value to state Florida?,None,None,,N,
5,29,Which range has the highest number of states?,0-10M,0-10M,,N,
5,22,Yes or no: States of region bordering Canada have lower values on average than states bordering Mexico.,Yes,Yes,,N,
33,31,Yes or no: All the states bodering Mississippi belong to range 119-160.,Yes,Yes,d,N,
33,37,Which state borders only states from range 161-193?,South Carolina,South Carolina,,Y,
33,3,What is the overall range of the legend?,119-293,119-293,,N,
33,4,What value range does the second lightest shade represent?,195-224,195-224,,N,
33,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,,N,
33,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
33,9,Does state Texas fall in range 161-193?,Yes,Yes,,N,
33,27,Which states bordering Nevada have a value higher than state Idaho?,"California, Oregon","California, Oregon",,Y,
33,18,Yes or no: the value of the state Alabama is similar to its neighbouring state Tennessee.,Yes,Yes,,N,
33,40,Which states on the west coast belonging to the highest range are neighbouring each other?,"California, Oregon, Washington
","California, Oregon, Washington
",,N,
33,43,"Rank the states Michigan, Ohio, and Pennsylvania in terms of the legend value in the Great Lakes region?",Michigan < Ohio = Pennsylvania,Michigan < Ohio = Pennsylvania,,Y,
49,6,Yes or no: the map depicts percentages.,No,No,c,N,
49,11,Which states in the north-east region belong to range 500-600k?,New York,New York,,N,
49,37,Which states have missing data?,None,None,,N,
49,41,Are there significant gaps between certain ranges in the legend? Yes/No,No,No,,N,
49,23,How many states bordering Lake Erie have a value higher than 500K?,1,1,,N,
49,39,Yes or no: all states bordering Canada have values below 100K.,No,No,,N,
49,35,How many states bordering Texas have a value similar to state South Carolina?,3,4,,Y,
49,18,Yes or no: the value of the state Connecticut is lower than its neighbouring state Rhode Island.,No,No,,N,
49,4,What value range does the darkest shade represent?,None,700k - 800k,,N,
49,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
49,21,Yes or no: Alaska has the same value as North Dakota.,Yes,Yes,,N,
15117,13,Which state has the least value among the states bordering Mexico?,Arizona,Arizona,d,N,
15117,4,What value range does the darkest shade represent?,3-5,3-5,,N,
15117,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15117,8,Which class has the largest range of values?,0,0,,N,
15117,27,Which states on the western coast have a value similar to state North Carolina?,None,None,,N,
15117,11,Which states bodering Kansas belong to range 3-5?,None,None,,N,
15117,30,Does state Missouri have the same value to state Utah.,Yes,Yes,,N,
15117,35,How many states bordering Wyoming have a value higher than state Massachusetts?,1,1,,Y,
15117,3,What is the overall range of the legend?,0-5,0-5,,N,
15117,23,How many states bordering Lake Superior have missing data?,0,0,,N,
56,31,Yes or no: a majority of states bodering Canada belong to range 1500-2000.,Yes,Yes,d,N,
56,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
56,41,Are the legends evenly spaced?,No,No,,N,
56,34,Yes or no: North Carolina is the Eastern most state that has a higher value compared to all its neighbours.,No,No,,Y,
56,21,Yes or no: state Arizona has the least value among states bordering Mexico.,Yes,Yes,,N,
56,37,Which state on the eastern coast borders states without any data?,None,None,,Y,
56,33,Yes or no: New York and New Jersey are a pair of bordering states with the highest difference.,Yes,Yes,,Y,
56,39,Yes or no: all states bordering Oregon have values 1500-2000.,Yes,Yes,,Y,
56,32,Yes or no: state Maine is an outlier compared to other states in the north-east region.,No,No,,N,
56,16,What value range does state Wisconsin fall in?,1500-2000,1500-2000,,N,
200,29,Which range has the least number of states?,>14k,>14k,c,N,
200,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
200,36,Name the Southern most state in the range 10-12k.,Texas,Florida,,N,
200,20,Name the western-most state that belongs to a different value range compared to all its neighbours.,California,California,,Y,
200,9,Does New York state fall in the range 8-10k?,Yes,Yes,,N,
200,15,List the 2 states bordering California with similar values.,"Alaska, Oregon","Nevada, Oregon",,Y,
200,28,Which state bordering Lake Michigan has the same value to state Oklahoma?,"Indiana, Wisconsin","Indiana, Wisconsin",,N,
200,6,Yes or no: the map depicts percentages.,No,No,,N,
200,26,Which states along the Canada border have a value similar to Florida?,New York,New York,,N,
200,18,Yes or no: the value of the state Kansas is similar to its neighbouring state Texas.,No,No,,N,
98,42,Yes/No: North Carolina has a similar value as Michigan and also have a similar value as California.,No,No,c,N,
98,22,Yes or no: States of west region have similar values on average to eastern coast states.,No,No,,N,
98,19,Yes or no: the value of the state Florida is higher to state Idaho.,Yes,Yes,,N,
98,12,What is the second highest value range in the legend?,3-3.5M,2.5M - 3M,,N,
98,5,Yes or no: the legend has multiple distinct colours?,No,No,,N,
98,16,What value range does state West Virginia fall in?,< 0.5M,< 0.5M,,N,
98,18,Yes or no: the value of the state Texas is higher than its neighbouring state Louisiana.,Yes,Yes,,N,
98,9,Does California fall in range above 2.5M?,Yes,Yes,,N,
98,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
98,32,Yes or no: California is an outlier compared to other states in its neighbouring region.,Yes,Yes,,N,
98,43,"Rank the states Illinois, Indiana, and Ohio in terms of the legend value in the Great Lakes region?",Indiana < Ohio < Illinois,Indiana < Ohio < Illinois,,Y,
65,11,Which states in west coast region belong to range > 60k?,California,California,c,N,
65,15,List the northern most state with the highest value.,New York,New York,,N,
65,9,Does state Montana fall in range 0-10k?,Yes,Yes,,N,
65,19,Yes or no: the value of the state Maine is higher to state Louisiana.,No,No,,N,
65,21,Yes or no: Washington has the highest value along the western coast.,No,No,,N,
65,31,Yes or no: a majority of states bordering Canada have values lower than Florida.,Yes,Yes,,N,
65,42,Yes/No: Illinois has a similar value as Texas and also have a higher value than Nevada.,No,No,,N,
65,23,How many states bordering Lake Michigan have a value higher than 50k?,0,0,,N,
65,13,Which state has the second highest value in the west coast region?,Washington,Washington,,N,
65,36,Name the northern most state in the range 50-60k.,New York,New York,,N,
65,43,"Rank the states Vermont, New York, and Michigan in terms of the legend value in the Canada Border region?",Vermont < Michigan < New York,Vermont < Michigan < New York,,Y,
20787,16,What value range does state Mississippi fall in?,248200 - 588000,627600 - 960700,d,N,
20787,2,Yes or no: in the legend the colour darkness inversely proportional to the value.,No,No,,N,
20787,27,Which states neighbouring New Mexico have a value lower than New York?,"Arizona, Colorado, Oklahoma","Arizona, Colorado, Oklahoma",,N,
20787,4,What value range does the second lightest shade represent?,627600 - 960700,248200 - 588000,,N,
20787,1,How many distinct categories does the legend contain?,4,4,,N,
20787,37,Which state in the east coast borders at least two states from the range 13500-240200?,Arizona,Virginia,,Y,
20787,39,Yes or no: all states bordering Florida have values in the same range.,No,No,,Y,
20787,18,Yes or no: the value of the state Utah is lower than its neighbouring state Arizona.,Yes,Yes,,N,
20787,3,What is the overall range of the legend?,"13,500-3412900",13500 - 3412900,,N,
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,"Oregon, Arizona",Oregon,,Y,
20787,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,No,,N,
20787,9,"Does Tennessee fall in range 627,600 - 960,700?",No,No,,N,
20787,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15641,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,d,N,
15641,15,Which states bordering Lake Huron have the highest value?,Michigan,Michigan,,N,
15641,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15641,37,Which state along the east coast in the second least range borders atleast 2 states from the lowest range?,"Pennsylvania, Vermont","Pennsylvania, Vermont, Delaware",,Y,
15641,20,Name the western-most state that belongs to a lower value range compared to all its neighbours.,Alaska,California,,Y,
15641,11,Which states along the Mexico border belong to the range 15.4-21.8?,"Arizona, New Mexico","Arizona, New Mexico",,N,
15641,40,Which pair of states on the Canada border belonging to the highest range are the closest to each other?,"Idaho, Montana","Idaho, Montana",,N,
15641,3,What is the overall range of the legend?,5.4-21.8,5.4-21.8,,N,
15641,5,Yes or no: the legend has different shades of the same colour?,No,No,,N,
15641,28,Which state bordering Lake Superior has the same value as New York?,None,None,,N,
15641,33,Yes or no: Iowa and Missouri are the pair of bordering states with the highest difference.,No,No,,Y,
20556,33,Yes or no: Iowa and Missouri are a pair of bordering states with the least difference.,Yes,Yes,d,Y,
20556,26,Which states along the east coast have a value same as California?,North Carolina,North Carolina,,N,
20556,9,"Does Florida fall in range 91,400-2,51,500?",No,No,,N,
20556,8,Which class has the largest range of values?,1400-18900,91400 - 251500,,N,
20556,22,Yes or no: States of the west coast have higher values on average than states of the east coast.,Yes,Yes,,N,
20556,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
20556,34,Yes or no: California is the western-most state that has a higher value compared to all its neighbours.,No,No,,Y,
20556,36,"Name the northern most state in the range 1400-18,900.",Maine,Maine,,N,
20556,40,Which states belonging to the highest range are the closest to each other along the Mexico border?,"California, Arizona, New Mexico","California, Arizona, New Mexico",,N,
20556,37,Which states have missing data?,Vermont,Vermont,,N,
20556,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
7,29,Which range has the highest number of states?,2112-14236,2112-14236,d,N,
7,18,Yes or no: the value of Georgia is higher than its neighbouring state South Carolina.,No,No,,N,
7,31,Yes or no: a majority of states in east coast belong to the least range.,No,No,,N,
7,42,Yes/No: Illinois has a higher value than Maine and a lower value than New York.,Yes,Yes,,N,
7,35,How many states have a value similar to Texas?,4,4,,N,
7,19,Yes or no: the value of the state North Dakota is lower than Rhode Island.,No,No,,N,
7,4,What value range does the darkest shade represent?,62608-132336,62608-132336,,N,
7,37,Which states have missing data?,None,None,,N,
7,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
7,21,Yes or no: Alaska has the same value as North Dakota.,Yes,Yes,,N,
7,43,"Rank the states Texas, New Mexico, and Arizona in terms of the legend value in the Mexico Border region?",New Mexico < Arizona < Texas,New Mexico < Arizona < Texas,,Y,
13283,35,How many states have a value similar to Texas?,9,2,c,N,
13283,12,What is the least value range in the west coast region?,0-2M,0-2M,,N,
13283,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
13283,32,Yes or no: California is an outlier compared to other states in the west coast region.,Yes,Yes,,N,
13283,32,Yes or no: Georgia is an outlier compared to other states in the east coast region.,No,No,,N,
13283,11,Which states along the Mexico border belong to the range 10-12M?,Texas,Texas,,N,
13283,33,Yes or no: California and Oregon are the pair of bordering states with the highest difference.,Yes,Yes,,Y,
13283,39,Yes or no: all states along the Canada border have values in range 14-16M.,No,No,,N,
13283,16,What value range does state New York fall in?,10-12 M,10M - 12M,,N,
13283,15,List the states in the west coast region with the highest value.,California,California,,N,
20517,3,What is the overall range of the legend?,6.1-8%,6.1% - 17.0%,d,N,
20517,26,Which states in the west coast region have a value higher than 12.7%?,Oregon,Oregon,,N,
20517,5,Yes or no: the legend has different shades of the same colour?,Yes,No,,N,
20517,34,Yes or no: North Dakota is the North most state that has a similar value compared to all its neighbours.,No,No,,Y,
20517,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
20517,13,Which state has the second highest value along the west coast?,California and Washington,California and Washington,,N,
20517,29,Which range has the least number of states?,6.1-8%,6.1% - 8.0%,,N,
20517,30,Does Texas have the same value as New Mexico amongst the states along the Mexico border.,Yes,Yes,,N,
20517,37,Which state along Canada borders only states from range 12.7-17%?,Washington,Washington,,N,
20517,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
20517,41,Are the legends evenly spaced?,No,No,,N,
20517,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
20517,16,What value range does state Maine fall in?,8.2% - 10.4%,8.2% - 10.4%,,N,
19332,15,Which state on the West Coast has the highest value?,Oregon,Oregon,d,N,
19332,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
19332,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,Yes,,N,
19332,19,Yes or no: the value of  Florida is higher than Maine.,Yes,Yes,,N,
19332,21,Yes or no: Oregon has the least value along the west coast.,Yes,No,,N,
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,Idaho,,Y,
19332,35,How many states along the east coast have a value similar to California?,7,6,,N,
19332,18,Yes or no: the value of the state California is higher than its neighbouring state Oregon.,No,No,,N,
19332,36,Name the southern-most state in the range 950-1400.,Utah,Utah,,N,
19332,31,Yes or no: a majority of states in bordering Texas belong to range 950-1400.,No,No,,Y,
19332,4,What value range does the lightest shade represent?,2980-6320,2980 - 6320,,N,
18501,15,Which state on the east coast has the highest value?,"New York ,Florida","New York, Florida",d,N,
18501,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
18501,4,What value range does the second lightest shade represent?,64200-131600,64200 - 131600,,N,
18501,41,Are the legends evenly spaced?,No,No,,N,
18501,28,Which state along the Mexico border has the same value as Idaho?,New Mexico,New Mexico,,N,
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,No,,N,
18501,27,Which states in the east coast region have a value same as Texas?,"New York, Florida","New York, Florida",,N,
18501,42,Yes/No: New York has a higher value than West Virginia and also have a higher value than Colorado.,Yes,Yes,,N,
18501,9,Does South Carolina fall in the range 138100-228700?,No,No,,N,
18501,35,How many states bordering Canada have a value similar to Texas?,1,1,,N,
340,8,Which class has the largest range of values?,5-7%,5% - 7%,d,N,
340,19,Yes or no: the value of Colorado is higher than New York.,No,No,,N,
340,19,Yes or no: the value of  Florida is lower than Texas.,Yes,Yes,,N,
340,41,Are the legends evenly spaced?,No,No,,N,
340,22,Yes or no: States bordering Texas have similar values on average to states bordering Louisiana.,Yes,Yes,,Y,
340,11,Which states along the Mexico border belong to range 5-7%?,"California, Texas, New Mexico, Louisiana","California, Texas, New Mexico",,N,
340,11,Which states along the Canada border belong to range 5-7%?,Montana,"Montana, New York",,N,
340,33,Yes or no: New Mexico and Colorado are the pair of bordering states along the West Coast with the highest difference.,No,No,,N,
340,29,Which range has the least number of states?,2%,2%,,N,
340,21,Yes or no: California has the highest value along the west coast.,Yes,Yes,,N,
340,43,"Rank the states California, Oregon, and Alaska in terms of the legend value in the West Coast region?",Alaska < Oregon < California,Alaska < Oregon < California,,Y,
18402,18,Yes or no: the value of the state New Hampshire is higher than its neighbouring state Vermont.,Yes,Yes,c,N,
18402,15,Which state along the Canada border region has the lowest value?,New Hampshire,Maine,,N,
18402,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
18402,42,Yes/No: California has a similar value as Florida and also have a higher value than Maine.,No,No,,N,
18402,12,What is the least value range in the west coast region?,<0.05,<0.05,,N,
18402,28,Which state along the Canada border has the same value as Arkansas?,"Maine, North Dakota, Vermont",North Dakota,,N,
18402,26,Which states along the Mexico border have value lower than 0.05?,Continuous,"California, Arizona, Texas",,N,
18402,16,What value range does state Wisconsin fall in?,0.15 -0.2,0.15 - 0.2,,N,
18402,6,Yes or no: the map depicts percentages.,No,No,,N,
18402,18,Yes or no: the value of North Carolina is similar to its neighbouring state South Carolina.,No,No,,N,
16686,15,Which state on the Canada border has the highest value?,Minnesota,Minnesota,d,N,
16686,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
16686,5,Yes or no: the legend has different shades of the same colour?,No,No,,N,
16686,37,Which states along the west coast in range 6-8% borders only one state from range 6-8%?,"California, Washington","California, Washington",,Y,
16686,36,Name the Northmost state in the highest range.,Alaska,Alaska,,N,
16686,3,What is the overall range of the legend?,6-18%,6% - 18%,,N,
16686,4,What value range does the darkest shade represent?,13-18%,13% - 18%,,N,
16686,1,How many distinct categories does the legend contain?,5,5,,N,
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,No,,N,
16686,30,Does state California have the same value as Oregon amongst the states in the west coast region.,Yes,Yes,,N,
20746,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state Montana.,Yes,No,c,N,
20746,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,Idaho,California,,N,
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,Montana,,N,
20746,16,What value range does state North Dakota fall in?,0.8-0.9,0.8-0.9,,N,
20746,34,Yes or no: Maine is the northmost state that has a similar value compared to all its neighbours.,No,No,,Y,
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,Minnesota,,N,
20746,31,Yes or no: a majority of states in the west coast region belong to range 0.1-0.2.,Yes,Yes,,N,
20746,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
20746,15,List the state bordering Canada with the highest value.,North Dakota,North Dakota,,N,
1034,21,Yes or no: Minnesota has the highest value along the Canada border.,Yes,Yes,c,N,
1034,9,Does California fall in range 0.4-0.45?,No,No,,N,
1034,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
1034,27,Which states along the Mexico border have a value similar to Alaska?,None,None,,N,
1034,18,Yes or no: the value of North Dakota is similar to its neighbouring state South Dakota.,Yes,Yes,,N,
1034,37,Which states have missing data?,None,None,,N,
1034,36,Name the Northmost state in the range 0.4-0.45.,Minnesota,Minnesota,,N,
1034,20,Name the Southmost state that belongs to a higher value range compared to all its neighbours.,Florida,Florida,,Y,
1034,33,Yes or no: Texas and Oklahoma are the pair of bordering states with the highest difference.,No,No,,Y,
1034,6,Yes or no: the map depicts percentages.,No,No,,N,
15950,4,What value range does the darkest shade represent?,60-117%,60% - 117%,d,N,
15950,42,Yes/No: Oregon has a higher value than North Dakota and also a higher value than Illinois.,No,No,,N,
15950,35,How many states bordering Florida have a value higher than Minnesota?,0,0,,Y,
15950,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15950,29,Which range has the highest number of states?,-14.98,0% - 23%,,N,
15950,30,Does Oregon have the same value as Florida.,No,No,,N,
15950,28,Which state bordering Wyoming has the same value as Nevada?,"Montana, Colorado","Montana, Colorado",,Y,
15950,34,Yes or no: North Dakota is the northern most state that has a higher value compared to all its neighbours.,Yes,No,,Y,
15950,9,Does Nevada fall in range 60-117%?,Yes,Yes,,N,
15950,32,Yes or no: California is an outlier compared to other states in the west coast region.,No,No,,N,
14414,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
14414,12,What is the highest value range in the region around the Great Lakes?,13.2 - 21.1%,13.2% - 21.1%,,N,
14414,19,Yes or no: the value of Georgia is higher than Washington.,Yes,Yes,,N,
14414,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
14414,16,What value range does state California fall in?,2.9-4.5%,2.9% - 4.5%,,N,
14414,41,Are the legends evenly spaced?,No,No,,N,
14414,31,Yes or no: a majority of states in the south east region belong to the highest range.,Yes,Yes,,N,
14414,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
14414,3,What is the overall range of the legend?,-0.551,4.5% - 50.6%,,N,
14414,4,What value range does the second lightest shade represent?,6.7-12.7%,6.7% - 12.7%,,N,srija verification till here
