map_no,template_no,question,ground_truth,verified answer,c_or_d,relative_region (y/n),
6617,29,Which range no between two legend markings has the highest number of states?,0.8-1,0.8-1,,N,
6617,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
6617,32,Yes or no: Wyoming is an outlier compared to all other states,Yes,Yes,,N,arqam verification till here
5327,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state North Dakota.,No,No,d,N,
5327,37,Which states have missing data?,"Nevada, Idaho","Nevada, Idaho",,N,
5327,9,Does state Iowa come under the value below 300?,No,No,,N,
5327,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
5327,9,Does state Arkansas fall in range 379-469?,Yes,Yes,,N,
5327,1,How many distinct categories does the legend contain?,5,5,,N,
5327,4,What value range does the darkest shade represent?,276-373,276-373,,N,
5327,22,Yes or no: States bordering Georgia have higher values on average than states bordering Arizona.,Yes,Yes,,Y,
5327,3,What is the overall range of the legend?,276-835,276-835,,N,
5327,12,What is the least value range among the states bordering Lake Superior?,276-373,276-373,,N,
20781,15,Which state on the West Coast has the highest value?,Washington,Washington,d,N,
20781,9,Does state Alaska come in the range 30.1 - 34.2?,No,No,,N,
20781,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
20781,21,Yes or no: Rhode Island has the same value as Washington.,Yes,Yes,,N,
20781,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,,N,
20781,30,Does North Carolina have the same value as Florida in the east coast region.,Yes,Yes,,N,
20781,35,How many states bordering Canada have a value similar to Utah?,2,2,,N,
20781,36,Name the state west to New York in the range 20.2-22.9%.,"Alaska, South Dakota","Alaska, South Dakota",,N,
16391,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,c,N,
16391,37,Which states have missing data?,None,None,,N,
16391,9,Does the state of Nebraska come under the value range 0.14 -0.16?,No,No,,N,
16391,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
16391,16,What value range does state Idaho fall in?,> 0.22,> 0.22,,N,
16391,33,Yes or no: California and Oregon are the pair of bordering states along the west coast with the least difference.,Yes,Yes,,Y,
16391,35,How many states in the west coast have a value lower than Texas?,3,3,,N,
16391,21,Yes or no: New Jersey has the highest value in the east coast region.,No,No,,N,
16391,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,,N,
16391,18,Yes or no: the value of the state California is higher as its neighbouring state Oregon.,No,No,,N,
5931,37,Which states have missing data?,None,None,c,N,
5931,15,Which states bordering Lake Superior have the highest value?,Michigan,Michigan,,N,
5931,9,Does the state Maine come under the value 45-50?,No,No,,N,
5931,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
5931,21,Yes or no: Alabama has higher value than Oregon.,Yes,Yes,,N,
5931,41,Are the legends evenly spaced?,Yes,Yes,,N,
5931,40,Which pair of states belonging to the range 45-50 are the closest to each other?,"Ohio, Pennsylvania","Ohio, Pennsylvania",,N,
5931,36,Name the state in the northeast in the range 50-55.,West Virginia,West Virginia,,N,
5931,20,Name the western most state that belongs to a similar value range compared to all its neighbours.,Washington,Washington,,Y,
5931,27,Which states bordering Florida have a value similar to Texas?,Georgia,Georgia,,Y,
5000,37,Which states have missing data?,None,None,c,N,
5000,15,Which state along the Canada border has the highest value?,Minnesota,Minnesota,,N,
5000,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
5000,21,Yes or no: Montana has the same value as Texas.,No,No,,N,
5000,9,Does Florida fall in range 0.34-0.36?,Yes,Yes,,N,
5000,27,Which states bordering Canada have a value similar to Utah?,Maine,Maine,,N,
5000,34,Yes or no: Florida is the southern most state that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
5000,41,Are the legends evenly spaced?,Yes,Yes,,N,
5000,31,Yes or no: a majority of states bordering Texas belong to range greater than 0.3.,Yes,Yes,,Y,
5000,3,What is the overall range of the legend?,0.24-0.36,0.24-0.36,,N,
5000,43,"Rank the states Texas, Louisiana, and Mississippi in terms of the legend value in the Gulf Coast region?",Texas < Mississippi < Louisiana,Texas < Mississippi < Louisiana,,Y,
4042,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,d,N,
4042,15,Which state on the East Coast has the highest value?,Virginia,Virginia,,N,
4042,15,Which state on the Canada border has the lowest value?,Washington,Washington,,N,
4042,15,Which state on the Great Lakes region has the highest value?,Wisconsin,Wisconsin,,N,
4042,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
4042,21,Yes or no: Florida has the same value as Washington.,No,No,,N,
4042,1,How many distinct categories does the legend contain?,4,4,,N,
4042,5,Yes or no: the legend has different shades of the same colour?,4,Yes,,N,
4042,40,Which pair of states belonging to the range 21-38% are the closest to each other?,"Virginia, Tennessee","Virginia, Tennessee",,N,
4042,4,What value range does the lightest shade represent?,2-7%,2-7%,,N,
2181,37,Which states have missing data?,None,None,d,N,
2181,9,Does state Oklahoma come under the value 66-92?,No,No,,N,
2181,36,Which is the Southern most state with a value in the range 35-63?,Mississippi,Mississippi,,N,
2181,21,Yes or no: New Mexico has the same value as Texas.,No,No,,N,
2181,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
2181,9,Does state Michigan come under the value 35-63?,Yes,Yes,,N,
2181,18,Yes or no: the value of the state Texas is higher than its neighbouring state Louisiana.,Yes,Yes,,N,
2181,11,Which states bordering Canada belong to range 95-205?,New York,New York,,N,
2181,28,Which state in the west coast has the same value as Missouri?,Washington,Washington,,N,
2181,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
1342,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,d,N,
1342,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state Minnesota.,No,No,,N,
1342,37,Which states have missing data?,"North Dakota, New Hampshire, Vermont, Rhode Island, Nebraska","North Dakota, New Hampshire, Vermont, Rhode Island, Nebraska",,N,
1342,15,Which state on the Canada border has the highest value?,Washington,Washington,,N,
1342,15,Which state along the Great Lakes region has the highest value?,"New York, Michigan","New York, Michigan",,N,
1342,15,Which state on the east coast has the highest value?,Massachusetts,Massachusetts,,N,
1342,9,Does South Dakota fall in range above 5%?,Yes,Yes,,N,
1342,9,Does Alaska fall in range 5.1% - 15.6%?,Yes,Yes,,N,
1342,12,What is the highest value range in the Canada bordering region?,3.3-4.9%,3.3-4.9%,,N,
1342,31,Yes or no: All the states bordering Florida belong to the range 1-1.8%.,Yes,Yes,,Y,
65,7,Is the legend discrete or continuous?,Continuous,Continuous,c,N,
65,36,Which is the Northern most state with the highest value?,New York,New York,,N,
65,21,Yes or no: North Dakota has the same value as South Dakota.,Yes,Yes,,N,
65,19,Yes or no: the value of North Dakota is lower than South Dakota.,No,No,,N,
65,6,Yes or no: the map depicts percentages.,No,No,,N,
65,36,Name the North most state in the range 50-60k.,New York,New York,,N,
65,28,Which state bordering the Great Lakes has the same value as Florida?,New York,New York,,N,
65,5,Yes or no: the legend has multiple distinct colours?,No,No,,N,
65,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
65,9,Does California fall in range above 60k?,Yes,Yes,,N,
4,15,Which state on the East Coast region has the lowest value?,New Hampshire,,c,N,
4,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
4,41,Are the legends evenly spaced?,Yes,Yes,,N,
4,6,Yes or no: the map depicts percentages.,No,No,,N,
4,27,Which states bordering Mexico have a value similar to Minnesota?,None,None,,N,
4,28,Which state in the west coast has the same value as Louisiana?,California and Oregon,"California, Oregon",,N,
4,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
4,22,Yes or no: States bordering Canada have lower values on average than states bordering Mexico.,Yes,Yes,,N,
4,29,Which range has the least number of states?,<0.3,<0.3,,N,
4,4,What value range does the darkest shade represent?,>0.45,>0.45,,N,
11175,6,Yes or no: the map depicts percentages.,No,No,d,N,
11175,12,What is the second least value range in the west coast region?,53-102,53-102,,N,
11175,30,Does state Florida have the same value to state Georgia amongst the states in the south-east region.,No,No,,N,
11175,34,Yes or no: California is the western most state that has a lower value compared to all its neighbours.,No,No,,Y,
11175,26,Which states bordering Canada have a value higher than California?,None,None,,N,
11175,5,Yes or no: the legend has multiple distinct colours?,No,No,,N,
11175,32,Yes or no: North Carolina is an outlier compared to other states in its neighbouring region.,No,No,,N,
11175,33,Yes or no: Texas and Arkansas are a pair of bordering states with the highest difference.,Yes,Yes,,Y,
11175,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
11175,22,Yes or no: States bordering lake Superior have a higher value on average than states bordering Mexico.,No,No,,N,
17383,32,Yes or no: New York is an outlier compared to other states bordering Canada.,No,No,c,N,
17383,27,Which states in along the southern border have a value higher than New York?,"California, Arizona","California, Arizona",,N,
17383,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
17383,39,Yes or no: all states bordering Colorado have values in the same range.,No,No,,Y,
17383,16,What value range does state California fall in?,3.5-4,3.5-4,,N,
17383,6,Yes or no: the map depicts absolute values.,Yes,Yes,,N,
17383,12,Which states on the east coast has the highest value?,South Carolina,South Carolina,,N,
17383,30,Does Florida have the same value to state New York amongst the states along the eastern coast.,No,No,,N,
17383,41,Are the legends evenly spaced ?,Yes,Yes,,N,
17383,21,Yes or no: South Dakota has the least value compared to its neighbours.,Yes,Yes,,Y,
19988,18,Yes or no: the value of the state Texas is same as its neighbouring state Arkansas.,Yes,Yes,c,N,
19988,9,Does Iowa fall in range 200 - 400?,Yes,Yes,,N,
19988,4,What value range does the darkest shade represent?,>1200,>1200,,N,
19988,16,What value range does state Mississippi fall in?,0-200,0-200,,N,
19988,11,Which states in west coast region belong to the lowest range?,"Alaska, California",California,,N,
19988,26,Which states bordering Canada have a value higher than California?,"Montana, Minnesota","Montana, Minnesota",,N,
19988,21,Yes or no: Oregon has the highest value in the west coast.,Yes,Yes,,N,
19988,6,Yes or no: the map depicts percentages.,No,No,,N,
19988,9,Does Texas fall in the range 200-400?,Yes,Yes,,N,
19988,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
1347,42,Yes/No: Maine has a higher value than West Virginia and also have a higher value than Colorado.,No,No,d,N,
1347,11,"Which states along the Mexico border belong to the range 51,424 - 168,732?",California,California,,N,
1347,4,What value range does the darkest shade represent?,"51,424 - 168,732","51,424 - 168,732",,N,
1347,21,Yes or no: California has the highest value along the west coast.,Yes,Yes,,N,
1347,19,Yes or no: the value of  Florida is higher than Maine.,Yes,Yes,,N,
1347,15,List the states in the east coast region with the highest value.,New York,New York,,N,
1347,31,Yes or no: All the states bordering Texas belong to range 655-8718.,Yes,Yes,,Y,
1347,29,Which range has the least number of states?,"51,424 - 168,732","51,424 - 168,732",,N,
1347,27,Which states in the east coast region have a value higher than Texas?,New York,New York,,N,
1347,34,Yes or no: Montana and Maine are the northern most states that have a similar value compared to all its neighbours.,Yes,Yes,,Y,
1347,41,Are the legends evenly spaced?,No,No,,N,
16161,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,d,N,
16161,37,Which states on the North coast have missing data?,"Idaho, North Dakota, South Dakota, Montana, Wyoming","Idaho, North Dakota, South Dakota, Montana, Wyoming",,N,
16161,15,Which state on the Mexico border has the lowest value?,Texas,Texas,,N,
16161,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
16161,21,Yes or no: North Carolina has lower value than Oregon.,Yes,Yes,,N,
16161,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
16161,41,Are the legends evenly spaced?,No,No,,N,
16161,4,What value range does the second lightest shade represent?,10.3-14.7%,10.3-14.7%,,N,
16161,36,Name the southern most state in the range 14.9-18.5%.,Mississippi,Mississippi,,N,
15912,18,Yes or no: the value of the state California is higher as its neighbouring state Oregon.,Yes,Yes,c,N,
15912,15,Which state on the West Coast has the highest value?,California,California,,N,
15912,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
15912,31,Yes or no: a majority of states on the east coast belong to range less than 1M.,Yes,Yes,,N,
15912,42,"Yes/No: Texas has a higher value than Florida, and also have a similar value as New York.",Yes,Yes,,N,
15912,32,Yes or no: New York is an outlier compared to other states on the east coast.,Yes,Yes,,N,
15912,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
15912,3,What is the overall range of the legend?,0-5M,0-5M,,N,
15912,22,Yes or no: States bordering Canada have higher values on average than states bordering Mexico.,No,No,,N,
15912,9,Does New York fall in range 1-2M?,Yes,Yes,,N,
8576,15,Which state on the East Coast has the highest value?,"Florida, Massachusetts, Virginia","Florida, Massachusetts, Virginia",d,N,
8576,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
8576,8,Which class has the largest range of values?,"0-37,719","0-37,719",,N,
8576,37,Which state in range 301325-766290 borders at least 3 states from range 0-37719?,New York,New York,,Y,
8576,21,Yes or no: California has the highest value on the west coast,Yes,Yes,,N,
8576,12,What is the highest value range along Mexico border?,143202-296255,143202-296255,,N,
8576,9,Does Michigan fall in range 301325-766290?,Yes,Yes,,N,
8576,3,What is the overall range of the legend?,0-766290,0-766290,,N,
8576,5,Yes or no: the legend has multiple distinct colours?,No,No,,N,
8576,41,Are the legends evenly spaced ?,No,No,,N,
7729,15,Which 3 states on the East Coast have the highest values?,"Maine, North Carolina, Georgia","Maine, North Carolina, Georgia",c,N,
7729,21,Yes or no: Indiana has higher value than Alaska.,Yes,Yes,,N,
7729,27,Which states bordering Texas have a value higher than 0.26?,"Arkansas , Louisiana","Arkansas , Louisiana",,Y,
7729,36,Name the northern most state in the range 0.2-0.22.,North Dakota,North Dakota,,N,
7729,12,What is the lowest value range among the states bordering Lake Superior?,0.2-0.22,0.2-0.22,,N,
7729,6,Yes or no: the map depicts percentages.,No,No,,N,
7729,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,Yes,,N,
7729,20,Name the northern most state that belongs to a similar value range compared to 2 of its neighbours.,Idaho,Idaho,,Y,
7729,22,Yes or no: States bordering Arkansas have higher values on average than states bordering Washington.,Yes,Yes,,Y,
7729,35,How many states on the Canada border have a value similar to California?,2,2,,N,
7729,43,"Rank the states West Virginia, Kentucky, and Tennessee in terms of the legend value in the Appalachian region?",Tennessee < Kentucky < West Virginia,Tennessee < Kentucky < West Virginia,,Y,
7502,21,Yes or no: New York has the same value as Texas.,Yes,Yes,d,N,
7502,15,Which state on the East Coast has the highest value?,New York,New York,,N,
7502,30,Does Florida have a different value than South Carolina amongst the states in the southeast region.,No,No,,N,
7502,33,Yes or no: New York and Vermont are a pair of bordering states with the highest difference.,Yes,yes,,Y,
7502,20,Name the northern-most state that belongs to a similar value range compared to all its neighbours.,Maine,Maine,,Y,
7502,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
7502,28,Which state on the west coast has the same value as Connecticut?,Washington,Washington,,N,
7502,39,Yes or no: all states bordering Utah have values in range 233831-149806360.,Yes,Yes,,Y,
7502,40,"Which pair of states belonging to the range 419,716,094-665,088,579 are the closest to each other?","New Jersey, Pennsylvania, Ohio","New Jersey, Pennsylvania, Ohio",,N,
7502,1,How many distinct categories does the legend contain?,4,4,,N,
689,6,Yes or no: the map depicts percentages.,No,No,d,N,
689,32,Yes or no: Colorado is an outlier compared to its other neighbouring states,Yes,Yes,,N,
689,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,,N,
689,33,Yes or no: Rhode Island and Massachusetts are a pair of bordering states with the highest difference.,Yes,No,,Y,
689,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
689,16,What value range does Michigan fall in?,1721-3099,1721-3099,,N,
689,18,Yes or no: the value of Texas is similar to its neighbouring state New Mexico.,Yes,Yes,,N,
689,22,Yes or no: States bordering New Jersey have similar values on average than states bordering Florida,No,No,,Y,
689,20,Name the western most state that belongs to a higher value range compared to all its neighbours.,California,California,,Y,
689,42,Yes/No: Wisconsin has a similar value as Ohio and also a lower value than New York.,Yes,Yes,,N,
13792,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,c,N,
13792,42,"Yes/No: Texas has a higher value than New York, and also a higher than North Dakota.",Yes,Yes,,N,
13792,29,Which range has the least number of states?,>200k,>200k,,N,
13792,11,Which states bordering Canada belong to range >200k?,None,None,,N,
13792,30,Does North Carolina have the same value asd Georgia mongst the east coast states.,Yes,Yes,,N,
13792,26,Which states bordering the great lakes have a value similar to Florida?,None,None,,N,
13792,27,Which states bordering Mexico have a value similar to Florida?,Texas,Texas,,N,
13792,33,Yes or no: New Mexico and Texas are a pair of bordering states with the highest difference.,Yes,Yes,,Y,
13792,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
13792,31,Yes or no: a majority of states bordering Canada belong to range less than 50k.,Yes,Yes,,N,
20774,16,What value range does New Mexico fall in?,0.055-0.06,0.055-0.06,c,N,
20774,26,Which states bordering Canada have a value higher than 0.05?,None,None,,N,
20774,33,Yes or no: New Mexico and Utah are the pair of bordering states with the highest difference.,Yes,Yes,,N,
20774,9,Does New Hampshire fall in range 0.035-0.04?,No,No,,N,
20774,15,List the 3 states with values greater than 0.05.,"New Mexico, West Virginia, Delaware","New Mexico, West Virginia, Delaware",,N,
20774,4,What value range does the darkest shade represent?,>0.06,>0.06,,N,
20774,27,Which states bordering Mexico have a value similar to Georgia?,Arizona,Arizona,,N,
20774,34,Yes or no: Delaware is the eastern most state that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
20774,18,Yes or no: the value of Wyoming is higher than its neighbouring state Nebraska.,Yes,Yes,,N,
20774,31,Yes or no: All the west coast states belong to range 0.035-0.04.,Yes,Yes,,N,
8616,31,Yes or no: a majority of states bordering Canada belong to range less than 4M.,Yes,Yes,c,N,
8616,22,Yes or no: States bordering Montana have similar values on average as states bordering Maine.,Yes,Yes,,Y,
8616,3,What is the overall range of the legend?,<2M - >10M,<2M - >10M,,N,
8616,4,What value range does the second darkest shade represent?,2-4M,2-4M,,N,
8616,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
8616,16,What value range does California fall in?,>10M,>10M,,N,
8616,39,Yes or no: all states bordering New York have values below 6M.,Yes,Yes,,Y,
8616,34,Yes or no: New York is the northern most state that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
8616,11,Which states in the north east belong to range >10M?,None,None,,N,
8616,32,Yes or no: California is an outlier compared to other states in the west coast region,Yes,Yes,,N,
2632,6,Yes or no: the map depicts percentages.,Yes,No,c,N,
2632,3,What is the overall range of the legend?,<50k - >200k,<50k - >200k,,N,
2632,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
2632,22,Yes or no: States bordering Wyoming have similar values on average than states bordering Maine.,Yes,Yes,,Y,
2632,41,Are the legends evenly spaced?,Yes,Yes,,N,
2632,39,Yes or no: all states bordering Canada have values below 100k.,No,No,,N,
2632,29,Which range has the least number of states?,>200k,150k-200k,,N,
2632,9,Does Illinois fall in range 100-150k?,Yes,Yes,,N,
2632,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
2632,19,Yes or no: the value of New Jersey is similar to North Carolina.,Yes,Yes,,N,
2632,43,"Rank the states Ohio, Michigan, and Wisconsin in terms of the legend value in the Midwest region?",Wisconsin < Michigan < Ohio,Wisconsin < Michigan < Ohio,,Y,
930,40,Which pair of states belonging to the range >200k are the closest to each other?,None,Rhode Island and Connecticut.,d,N,
930,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
930,9,Does Idaho fall in range <50k?,Yes,Yes,,N,
930,41,Are the legends evenly spaced?,Yes,No,,N,
930,20,Name the western most state that belongs to a higher value range compared to all its neighbours.,California,California,,Y,
930,34,Yes or no: Florida is the southeast state that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
930,30,Does Maine have the same value as Connecticut among the states in the northeast region.,Yes,No,,N,
930,21,Yes or no: Minnesota has the least value along the Canada border.,No,No,,N,
930,31,Yes or no: a majority of states bordering belong to less than 150k.,Yes,Yes,,Y,
930,19,Yes or no: the value of Oregon is higher than New york.,No,No,,N,
930,43,"Rank the states Georgia, Alabama, and Florida in terms of the legend value in the Southeast region?",Alabama < Georgia < Florida,Alabama < Georgia < Florida,,Y,
12319,37,Which state on the west coast borders at least 1 state from range 3-6?,None,Oregon,d,Y,
12319,29,Which range has the highest number of states?,0-1,0-1,,N,
12319,15,List the states bordering Alabama with the highest values.,"Mississippi, Georgia, Florida","Georgia, Mississippi, Tennessee",,Y,
12319,1,How many distinct categories does the legend contain?,3,3,,N,
12319,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
12319,35,How many states bordering Colorado have a value similar to Wisconsin?,6,3,,Y,
12319,42,"Yes/No: Ohio has a higher value than California, and also a similar value as Florida.",Yes,Yes,,N,
12319,33,Yes or no: Iowa and Missouri are a pair of bordering states with the highest difference.,Yes,Yes,,Y,
12319,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
12319,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,